source_batch_id,review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note,unresolved_category,provenance_type
"BATCH-222","0cb3b4485168711d","0cb3b4485168711d74b764049116b4b532c06abb3d2719f3efc213c7cb739c29","G2A1P3-SK-0025","g2/a1/sk|a1-einmal|a1.card.a1-einmal.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-einmal","a1.card.a1-einmal.study.translation","vienreiz • reiz","einmal","Raz • Raz","Raz • Raz","Raz • Raz","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING: individuāli salīdzināts sk lauks a1.card.a1-einmal.study.translation kartītē a1-einmal: production “Raz • Raz”, LV “vienreiz • reiz”, DE “einmal”; bez mērķa valodas OWNER apstiprinājuma nav droši noteikt pilno, secīgi pareizo nozīmju kopu.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED",""
"BATCH-223","f3b2461f9b909cd1","f3b2461f9b909cd10e521de439a6fa357fceee2351d537c7947f5a3b4406d59f","G2A1P3-SK-0037","g2/a1/sk|a1-essen-study|a1.card.a1-essen-study.native|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-essen-study","a1.card.a1-essen-study.native","ēdiens • maltīte","Essen","Jedlo • Jedlo","Jedlo • Jedlo","Jedlo • Jedlo","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING: individuāli salīdzināts sk lauks a1.card.a1-essen-study.native kartītē a1-essen-study: production “Jedlo • Jedlo”, LV “ēdiens • maltīte”, DE “Essen”; bez mērķa valodas OWNER apstiprinājuma nav droši noteikt pilno, secīgi pareizo nozīmju kopu.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED",""
"BATCH-222","55d2c5970530fe0b","55d2c5970530fe0b7ad5488ba481918bc9e3bec378a51b8bc6d7b6cb6ec73ee4","G2A1P3-SK-0038","g2/a1/sk|a1-essen-study|a1.card.a1-essen-study.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-essen-study","a1.card.a1-essen-study.study.translation","ēdiens • maltīte","Essen","Jedlo • Jedlo","Jedlo • Jedlo","Jedlo • Jedlo","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING: individuāli salīdzināts sk lauks a1.card.a1-essen-study.study.translation kartītē a1-essen-study: production “Jedlo • Jedlo”, LV “ēdiens • maltīte”, DE “Essen”; bez mērķa valodas OWNER apstiprinājuma nav droši noteikt pilno, secīgi pareizo nozīmju kopu.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED",""
"BATCH-223","acb71e58fb32b6c2","acb71e58fb32b6c2edcb6849d6366df3679d29aba395adadb698be2244a80d02","G2A1P3-SK-0039","g2/a1/sk|a1-etwas|a1.card.a1-etwas.native|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-etwas","a1.card.a1-etwas.native","kaut kas","etwas","Niečo • Trochu","Niečo • Trochu","Niečo • Trochu","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING: individuāli salīdzināts sk lauks a1.card.a1-etwas.native kartītē a1-etwas: production “Niečo • Trochu”, LV “kaut kas”, DE “etwas”; bez mērķa valodas OWNER apstiprinājuma nav droši noteikt pilno, secīgi pareizo nozīmju kopu.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED",""
"BATCH-223","eb5b80d49e7594e8","eb5b80d49e7594e8a8cf9bc53997da515d2f802e94419edf4520818a74c6a6d2","G2A1P3-SK-0040","g2/a1/sk|a1-etwas|a1.card.a1-etwas.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-etwas","a1.card.a1-etwas.study.translation","kaut kas","etwas","Niečo • Trochu","Niečo • Trochu","Niečo • Trochu","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING: individuāli salīdzināts sk lauks a1.card.a1-etwas.study.translation kartītē a1-etwas: production “Niečo • Trochu”, LV “kaut kas”, DE “etwas”; bez mērķa valodas OWNER apstiprinājuma nav droši noteikt pilno, secīgi pareizo nozīmju kopu.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED",""
"BATCH-222","7a1d8b305f8fd4e1","7a1d8b305f8fd4e1db60be48da751d647d6d225437046ccbb3b4cefd670cf294","G2A1P3-SK-0041","g2/a1/sk|a1-euch|a1.card.a1-euch.native|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-euch","a1.card.a1-euch.native","jūs • jums","euch","Vy • Vy","Vy • Vy","Vy • Vy","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING: individuāli salīdzināts sk lauks a1.card.a1-euch.native kartītē a1-euch: production “Vy • Vy”, LV “jūs • jums”, DE “euch”; bez mērķa valodas OWNER apstiprinājuma nav droši noteikt pilno, secīgi pareizo nozīmju kopu.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED",""
"BATCH-223","f52cd4ab7b68c14e","f52cd4ab7b68c14ecd54912e7c2ff0bed3f688cd4cef785b1d26921e68673454","G2A1P3-SK-0042","g2/a1/sk|a1-euch|a1.card.a1-euch.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-euch","a1.card.a1-euch.study.translation","jūs • jums","euch","Vy • Vy","Vy • Vy","Vy • Vy","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING: individuāli salīdzināts sk lauks a1.card.a1-euch.study.translation kartītē a1-euch: production “Vy • Vy”, LV “jūs • jums”, DE “euch”; bez mērķa valodas OWNER apstiprinājuma nav droši noteikt pilno, secīgi pareizo nozīmju kopu.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED",""
"BATCH-223","d65ab5650ee8155d","d65ab5650ee8155de9b2b2d8c399204e0b8ec47c9ee09afd7ac6b8625683e6ad","G2A1P3-SK-0043","g2/a1/sk|a1-fahren|a1.card.a1-fahren.native|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-fahren","a1.card.a1-fahren.native","braukt","fahren","Jazdiť • Jazdiť • Brať","Jazdiť • Jazdiť • Brať","Jazdiť • Jazdiť • Brať","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING: individuāli salīdzināts sk lauks a1.card.a1-fahren.native kartītē a1-fahren: production “Jazdiť • Jazdiť • Brať”, LV “braukt”, DE “fahren”; bez mērķa valodas OWNER apstiprinājuma nav droši noteikt pilno, secīgi pareizo nozīmju kopu.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED",""
"BATCH-223","d993c35a9fad8ca1","d993c35a9fad8ca14442c348862f3cc1393c47b5715f3183bcbc1f2e1cf5debc","G2A1P3-SK-0044","g2/a1/sk|a1-fahren|a1.card.a1-fahren.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-fahren","a1.card.a1-fahren.study.translation","braukt","fahren","Jazdiť • Jazdiť • Brať","Jazdiť • Jazdiť • Brať","Jazdiť • Jazdiť • Brať","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING: individuāli salīdzināts sk lauks a1.card.a1-fahren.study.translation kartītē a1-fahren: production “Jazdiť • Jazdiť • Brať”, LV “braukt”, DE “fahren”; bez mērķa valodas OWNER apstiprinājuma nav droši noteikt pilno, secīgi pareizo nozīmju kopu.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED",""
"BATCH-222","014a39cb9832da5b","014a39cb9832da5b6a5847b311b8e0700ab9d77094bf2400ce992c3692e5fbd6","G2A1P3-SK-0045","g2/a1/sk|a1-finden|a1.card.a1-finden.native|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-finden","a1.card.a1-finden.native","atrast","finden","Nájsť • Zvážiť","Nájsť • Zvážiť","Nájsť • Zvážiť","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING: individuāli salīdzināts sk lauks a1.card.a1-finden.native kartītē a1-finden: production “Nájsť • Zvážiť”, LV “atrast”, DE “finden”; bez mērķa valodas OWNER apstiprinājuma nav droši noteikt pilno, secīgi pareizo nozīmju kopu.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED",""
"BATCH-222","39969c056b21bca7","39969c056b21bca7f49c567e468cf13d45277ee6aaf455216fd7ba4eba082771","G2A1P3-SK-0046","g2/a1/sk|a1-finden|a1.card.a1-finden.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-finden","a1.card.a1-finden.study.translation","atrast","finden","Nájsť • Zvážiť","Nájsť • Zvážiť","Nájsť • Zvážiť","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING: individuāli salīdzināts sk lauks a1.card.a1-finden.study.translation kartītē a1-finden: production “Nájsť • Zvážiť”, LV “atrast”, DE “finden”; bez mērķa valodas OWNER apstiprinājuma nav droši noteikt pilno, secīgi pareizo nozīmju kopu.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED",""
"BATCH-223","b11ee40f256e7f4d","b11ee40f256e7f4d58e2d997b1d2502fe370d17d30809cf2741cc1337fbfd49c","G2A1P3-SK-0047","g2/a1/sk|a1-frau|a1.card.a1-frau.native|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-frau","a1.card.a1-frau.native","sieviete","Frau","Žena • Manželka","Žena • Manželka","Žena • Manželka","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING: individuāli salīdzināts sk lauks a1.card.a1-frau.native kartītē a1-frau: production “Žena • Manželka”, LV “sieviete”, DE “Frau”; bez mērķa valodas OWNER apstiprinājuma nav droši noteikt pilno, secīgi pareizo nozīmju kopu.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED",""
"BATCH-222","13cb830212899660","13cb830212899660e63c57077a41ce41aeb9dbb4ec7370befee9509b86d324b8","G2A1P3-SK-0048","g2/a1/sk|a1-frau|a1.card.a1-frau.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-frau","a1.card.a1-frau.study.translation","sieviete","Frau","Žena • Manželka","Žena • Manželka","Žena • Manželka","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING: individuāli salīdzināts sk lauks a1.card.a1-frau.study.translation kartītē a1-frau: production “Žena • Manželka”, LV “sieviete”, DE “Frau”; bez mērķa valodas OWNER apstiprinājuma nav droši noteikt pilno, secīgi pareizo nozīmju kopu.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED",""
"BATCH-222","78c7d87fd8569e97","78c7d87fd8569e974c61b2a56ae84d5a522bdc13d652619bff048cce10e16c95","G2A1P3-SK-0049","g2/a1/sk|a1-fuer|a1.card.a1-fuer.native|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-fuer","a1.card.a1-fuer.native","priekš","für","Pro • Pro","Pro • Pro","Pro • Pro","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING: individuāli salīdzināts sk lauks a1.card.a1-fuer.native kartītē a1-fuer: production “Pro • Pro”, LV “priekš”, DE “für”; bez mērķa valodas OWNER apstiprinājuma nav droši noteikt pilno, secīgi pareizo nozīmju kopu.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED",""
"BATCH-223","d301cf40d100ddf9","d301cf40d100ddf963f58caf3c70f8d0664c0ce2ac83dcab70d024c03d27b90d","G2A1P3-SK-0050","g2/a1/sk|a1-fuer|a1.card.a1-fuer.study.tip[1]|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-fuer","a1.card.a1-fuer.study.tip[1]","Saņēmējs/nolūks → priekš; apmaiņa/iemesls/maksa → par.","für","Príjemca/zámer → za • Výmena/dôvod/platba → za.","Príjemca/zámer → za • Výmena/dôvod/platba → za.","Príjemca/zámer → za • Výmena/dôvod/platba → za.","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING: individuāli salīdzināts sk lauks a1.card.a1-fuer.study.tip[1] kartītē a1-fuer: production “Príjemca/zámer → za • Výmena/dôvod/platba → za.”, LV “Saņēmējs/nolūks → priekš; apmaiņa/iemesls/maksa → par.”, DE “für”; bez mērķa valodas OWNER apstiprinājuma nav droši noteikt pilno, secīgi pareizo nozīmju kopu.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED",""
"BATCH-223","fc0fb8be85fd72dc","fc0fb8be85fd72dca3c1a0edd6f0f28cf95ad191e89b863a139bc53da5b60226","G2A1P3-SK-0051","g2/a1/sk|a1-fuer|a1.card.a1-fuer.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","sk","","crowdin-staging/g2/sk-a1.json","a1-fuer","a1.card.a1-fuer.study.translation","priekš","für","Pro • Pro","Pro • Pro","Pro • Pro","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING: individuāli salīdzināts sk lauks a1.card.a1-fuer.study.translation kartītē a1-fuer: production “Pro • Pro”, LV “priekš”, DE “für”; bez mērķa valodas OWNER apstiprinājuma nav droši noteikt pilno, secīgi pareizo nozīmju kopu.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED",""
