sequence,language,key,lvSource,current,ownerStatus,newValue,reason,placeholderTokens,htmlTags
15,bs,kurss.lessonItems.2.title,Lekcija 2,Lekcija 2,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
16,bs,kurss.lessonItems.20.title,Lekcija 20,Lekcija 20,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
17,bs,kurss.lessonItems.21.title,Lekcija 21,Lekcija 21,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
18,bs,kurss.lessonItems.3.title,Lekcija 3,Lekcija 3,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
19,bs,kurss.lessonItems.4.title,Lekcija 4,Lekcija 4,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
20,bs,kurss.lessonItems.5.title,Lekcija 5,Lekcija 5,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
21,bs,kurss.lessonItems.6.title,Lekcija 6,Lekcija 6,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
22,bs,kurss.lessonItems.7.title,Lekcija 7,Lekcija 7,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
23,bs,kurss.lessonItems.8.title,Lekcija 8,Lekcija 8,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
24,bs,kurss.lessonItems.9.title,Lekcija 9,Lekcija 9,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
25,bs,kurss.sections.grammar,Gramatika,Gramatika,NELABOT,,Gramatika ir pareizs kognāts mērķvalodā — apzināta sakritība ar LV gramatikas terminu.,,
26,cs,extra.statistics,Statistika,Statistika,NELABOT,,Statistika ir pareizs kognāts mērķvalodā (skandināvu/baltu/slāvu u.c.) — apzināta sakritība ar LV.,,
27,cs,kurss.sections.grammar,Gramatika,Gramatika,NELABOT,,Gramatika ir pareizs kognāts mērķvalodā — apzināta sakritība ar LV gramatikas terminu.,,
28,es,study.minimal.formsLabel,Formas:,Formas:,NELABOT,,Formas: ir pareizs es mērķvalodas tulkojums (formas = formas) — apzināta sakritība ar LV struktūru.,,
29,es,tools.problemShort,Probl.,Probl.,NELABOT,,"Probl. ir apzināts DE mācību UI saīsinājums (Problematisch) — pareizs mērķvalodā, identisks LV avotam.",,
30,et,extra.statistics,Statistika,Statistika,NELABOT,,Statistika ir pareizs kognāts mērķvalodā (skandināvu/baltu/slāvu u.c.) — apzināta sakritība ar LV.,,
31,et,tools.problemShort,Probl.,Probl.,NELABOT,,"Probl. ir apzināts DE mācību UI saīsinājums (Problematisch) — pareizs mērķvalodā, identisks LV avotam.",,
32,fi,extra.statistics,Statistika,Statistika,NELABOT,,Statistika ir pareizs kognāts mērķvalodā (skandināvu/baltu/slāvu u.c.) — apzināta sakritība ar LV.,,
33,fi,tools.problemShort,Probl.,Probl.,NELABOT,,"Probl. ir apzināts DE mācību UI saīsinājums (Problematisch) — pareizs mērķvalodā, identisks LV avotam.",,
34,hr,kurss.lessonItems.1.title,Lekcija 1,Lekcija 1,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
35,hr,kurss.lessonItems.10.title,Lekcija 10,Lekcija 10,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
36,hr,kurss.lessonItems.11.title,Lekcija 11,Lekcija 11,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
37,hr,kurss.lessonItems.12.title,Lekcija 12,Lekcija 12,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
38,hr,kurss.lessonItems.13.title,Lekcija 13,Lekcija 13,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
39,hr,kurss.lessonItems.14.title,Lekcija 14,Lekcija 14,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
40,hr,kurss.lessonItems.15.title,Lekcija 15,Lekcija 15,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
41,hr,kurss.lessonItems.16.title,Lekcija 16,Lekcija 16,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
42,hr,kurss.lessonItems.17.title,Lekcija 17,Lekcija 17,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
43,hr,kurss.lessonItems.18.title,Lekcija 18,Lekcija 18,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
44,hr,kurss.lessonItems.19.title,Lekcija 19,Lekcija 19,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
45,hr,kurss.lessonItems.2.title,Lekcija 2,Lekcija 2,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
46,hr,kurss.lessonItems.20.title,Lekcija 20,Lekcija 20,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
47,hr,kurss.lessonItems.21.title,Lekcija 21,Lekcija 21,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
48,hr,kurss.lessonItems.3.title,Lekcija 3,Lekcija 3,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
49,hr,kurss.lessonItems.4.title,Lekcija 4,Lekcija 4,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
50,hr,kurss.lessonItems.5.title,Lekcija 5,Lekcija 5,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
51,hr,kurss.lessonItems.6.title,Lekcija 6,Lekcija 6,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
52,hr,kurss.lessonItems.7.title,Lekcija 7,Lekcija 7,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
53,hr,kurss.lessonItems.8.title,Lekcija 8,Lekcija 8,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
54,hr,kurss.lessonItems.9.title,Lekcija 9,Lekcija 9,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
55,is,extra.statistics,Statistika,Statistika,NELABOT,,Statistika ir pareizs kognāts mērķvalodā (skandināvu/baltu/slāvu u.c.) — apzināta sakritība ar LV.,,
56,is,tools.problemShort,Probl.,Probl.,NELABOT,,"Probl. ir apzināts DE mācību UI saīsinājums (Problematisch) — pareizs mērķvalodā, identisks LV avotam.",,
57,it,extra.statistics,Statistika,Statistika,NELABOT,,Statistika ir pareizs kognāts mērķvalodā (skandināvu/baltu/slāvu u.c.) — apzināta sakritība ar LV.,,
58,it,tools.problemShort,Probl.,Probl.,NELABOT,,"Probl. ir apzināts DE mācību UI saīsinājums (Problematisch) — pareizs mērķvalodā, identisks LV avotam.",,
59,lb,buttons.extraOptions,Papildu opcijas,Papildu opcijas,LABOT,Zousätzlech Optiounen,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
60,lb,buttons.extraOptionsClose,Papildu opcijas ▲,Papildu opcijas ▲,LABOT,Zousätzlech Optiounen ▲,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
61,lb,buttons.extraOptionsOpen,Papildu opcijas ▼,Papildu opcijas ▼,LABOT,Zousätzlech Optiounen ▼,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
62,lb,buttons.restore,Atgriezt,Atgriezt,LABOT,Zrécksetzen,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
63,lb,buttons.restoreAll,Atgriezt visu,Atgriezt visu,LABOT,Alles zrécksetzen,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
64,lb,card.answerPrefix,Atbilde:,Atbilde:,LABOT,Äntwert:,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
65,lb,card.pluralLabel,Daudzsk.,Daudzsk.,LABOT,Plural,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
66,lb,card.sessionComplete,Sesija pabeigta!,Sesija pabeigta!,LABOT,Sessioun ofgeschloss!,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
67,lb,card.sessionLabel,Sesija,Sesija,LABOT,Sessioun,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
68,lb,extra.statistics,Statistika,Statistika,NELABOT,,"Statistika ir LB/DE pedagoģijas kognāts — apzināta sakritība ar LV, nevis neiztulkots UI.",,
69,lb,info.answersTitle,Atbildes,Atbildes,LABOT,Äntwerten,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
70,lb,info.directionTitle,Tulkojuma virziens,Tulkojuma virziens,LABOT,Iwwersetzungsrichtung,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
71,lb,info.extraTitle,Papildu opcijas,Papildu opcijas,LABOT,Zousätzlech Optiounen,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
72,lb,kurss.articles,Artikuli,Artikuli,LABOT,Artikelen,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
73,lb,kurss.back,‹ Kurss,‹ Kurss,LABOT,‹ Cours,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
74,lb,kurss.exerciseMeta.formDu,Forma 1/3: Tu (vienskaitlis),Forma 1/3: Tu (vienskaitlis),LABOT,Form 1/3: Du (eenzel),LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
75,lb,kurss.exerciseMeta.translate,Übung II — tulko,Übung II — tulko,LABOT,Übung II — iwwersetzen,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
76,lb,kurss.lessonItems.1.menuDesc,"Darbības vārdi tagadnē, vārdiņi, gramatika un treniņš.","Darbības vārdi tagadnē, vārdiņi, gramatika un treniņš.",LABOT,"Verben am Present, kleng Wierder, Grammatik an Training.",Jaukts LV+DE menuDesc — LB tulkojums ar DE pedagoģijas terminiem un LB saikņiem (an).,,
77,lb,kurss.lessonItems.1.title,Lekcija 1,Lekcija 1,LABOT,Lektioun 1,"Lekcija → Lektioun: LB lekcijas nosaukums, ne LV identiskums.",,
78,lb,kurss.lessonItems.10.menuDesc,"Sein, können, veselība, vecums un profesijas.","Sein, können, veselība, vecums un profesijas.",LABOT,"Sein, können, Gesondheet, Alter an Beruffer.",Jaukts LV+DE menuDesc — LB tulkojums ar DE pedagoģijas terminiem un LB saikņiem (an).,,
79,lb,kurss.lessonItems.10.title,Lekcija 10,Lekcija 10,LABOT,Lektioun 10,"Lekcija → Lektioun: LB lekcijas nosaukums, ne LV identiskums.",,
80,lb,kurss.lessonItems.11.menuDesc,"Haben, kein/keine/keinen, piederība un saliktie lietvārdi.","Haben, kein/keine/keinen, piederība un saliktie lietvārdi.",LABOT,"Haben, kein/keine/keinen, Besëtzen an zesummegesate Nomen.",Jaukts LV+DE menuDesc — LB tulkojums ar DE pedagoģijas terminiem un LB saikņiem (an).,,
81,lb,kurss.lessonItems.11.title,Lekcija 11,Lekcija 11,LABOT,Lektioun 11,"Lekcija → Lektioun: LB lekcijas nosaukums, ne LV identiskums.",,
82,lb,kurss.lessonItems.12.menuDesc,"Salīdzināmās pakāpes, als/wie, vecums un krāsas.","Salīdzināmās pakāpes, als/wie, vecums un krāsas.",LABOT,"Vergläichsformen, als/wie, Alter an Faarwen.",Jaukts LV+DE menuDesc — LB tulkojums ar DE pedagoģijas terminiem un LB saikņiem (an).,,
83,lb,kurss.lessonItems.12.title,Lekcija 12,Lekcija 12,LABOT,Lektioun 12,"Lekcija → Lektioun: LB lekcijas nosaukums, ne LV identiskums.",,
84,lb,kurss.lessonItems.13.menuDesc,"Der Körper, ķermeņa daļas, turnen un jeder.","Der Körper, ķermeņa daļas, turnen un jeder.",LABOT,"Der Körper, Kéierdeelen, turnen an jeder.",Jaukts LV+DE menuDesc — LB tulkojums ar DE pedagoģijas terminiem un LB saikņiem (an).,,
85,lb,kurss.lessonItems.13.title,Lekcija 13,Lekcija 13,LABOT,Lektioun 13,"Lekcija → Lektioun: LB lekcijas nosaukums, ne LV identiskums.",,
86,lb,kurss.lessonItems.14.menuDesc,"müssen, wollen, mögen un modālie darbības vārdi.","müssen, wollen, mögen un modālie darbības vārdi.",LABOT,"müssen, wollen, mögen an modal Verben.",Jaukts LV+DE menuDesc — LB tulkojums ar DE pedagoģijas terminiem un LB saikņiem (an).,,
87,lb,kurss.lessonItems.14.title,Lekcija 14,Lekcija 14,LABOT,Lektioun 14,"Lekcija → Lektioun: LB lekcijas nosaukums, ne LV identiskums.",,
88,lb,kurss.lessonItems.15.menuDesc,"sollen, dürfen, essen un augļi.","sollen, dürfen, essen un augļi.",LABOT,"sollen, dürfen, essen an Fruucht.",Jaukts LV+DE menuDesc — LB tulkojums ar DE pedagoģijas terminiem un LB saikņiem (an).,,
89,lb,kurss.lessonItems.15.title,Lekcija 15,Lekcija 15,LABOT,Lektioun 15,"Lekcija → Lektioun: LB lekcijas nosaukums, ne LV identiskums.",,
90,lb,kurss.lessonItems.16.menuDesc,"Dativs, geben, sich nähern.","Dativs, geben, sich nähern.",LABOT,"Dativ, geben, sich nähern.",Jaukts LV+DE menuDesc — LB tulkojums ar DE pedagoģijas terminiem un LB saikņiem (an).,,
91,lb,kurss.lessonItems.16.title,Lekcija 16,Lekcija 16,LABOT,Lektioun 16,"Lekcija → Lektioun: LB lekcijas nosaukums, ne LV identiskums.",,
92,lb,kurss.lessonItems.17.title,Lekcija 17,Lekcija 17,LABOT,Lektioun 17,"Lekcija → Lektioun: LB lekcijas nosaukums, ne LV identiskums.",,
93,lb,kurss.lessonItems.18.title,Lekcija 18,Lekcija 18,LABOT,Lektioun 18,"Lekcija → Lektioun: LB lekcijas nosaukums, ne LV identiskums.",,
94,lb,kurss.lessonItems.19.title,Lekcija 19,Lekcija 19,LABOT,Lektioun 19,"Lekcija → Lektioun: LB lekcijas nosaukums, ne LV identiskums.",,
95,lb,kurss.lessonItems.2.menuDesc,"Dialogi, vārdi, izruna, gramatika un pārtulkošana.","Dialogi, vārdi, izruna, gramatika un pārtulkošana.",LABOT,"Dialoger, Wierder, Aussprooch, Grammatik an Iwwersetzen.",Jaukts LV+DE menuDesc — LB tulkojums ar DE pedagoģijas terminiem un LB saikņiem (an).,,
96,lb,kurss.lessonItems.2.title,Lekcija 2,Lekcija 2,LABOT,Lektioun 2,"Lekcija → Lektioun: LB lekcijas nosaukums, ne LV identiskums.",,
97,lb,kurss.lessonItems.20.menuDesc,"Haus, Stockwerk, Dativ/Akkusativ un saliktie lietvārdi.","Haus, Stockwerk, Dativ/Akkusativ un saliktie lietvārdi.",LABOT,"Haus, Stockwerk, Dativ/Akkusativ an zesummegesate Nomen.",Jaukts LV+DE menuDesc — LB tulkojums ar DE pedagoģijas terminiem un LB saikņiem (an).,,
98,lb,kurss.lessonItems.20.title,Lekcija 20,Lekcija 20,LABOT,Lektioun 20,"Lekcija → Lektioun: LB lekcijas nosaukums, ne LV identiskums.",,
99,lb,kurss.lessonItems.21.title,Lekcija 21,Lekcija 21,LABOT,Lektioun 21,"Lekcija → Lektioun: LB lekcijas nosaukums, ne LV identiskums.",,
100,lb,kurss.lessonItems.3.menuDesc,"Dialogi, vārdi, izruna, gramatika un pārtulkošana.","Dialogi, vārdi, izruna, gramatika un pārtulkošana.",LABOT,"Dialoger, Wierder, Aussprooch, Grammatik an Iwwersetzen.",Jaukts LV+DE menuDesc — LB tulkojums ar DE pedagoģijas terminiem un LB saikņiem (an).,,
101,lb,kurss.lessonItems.3.title,Lekcija 3,Lekcija 3,LABOT,Lektioun 3,"Lekcija → Lektioun: LB lekcijas nosaukums, ne LV identiskums.",,
102,lb,kurss.lessonItems.4.menuDesc,"Akuzatīvs, nehmen, hinlegen, hinausgehen un īpašības vārdi.","Akuzatīvs, nehmen, hinlegen, hinausgehen un īpašības vārdi.",LABOT,"Akkusativ, nehmen, hinlegen, hinausgehen an Adjektiver.",Jaukts LV+DE menuDesc — LB tulkojums ar DE pedagoģijas terminiem un LB saikņiem (an).,,
103,lb,kurss.lessonItems.4.title,Lekcija 4,Lekcija 4,LABOT,Lektioun 4,"Lekcija → Lektioun: LB lekcijas nosaukums, ne LV identiskums.",,
104,lb,kurss.lessonItems.5.menuDesc,"Wen?, akuzatīvs, sitzen, fragen un -in galotne.","Wen?, akuzatīvs, sitzen, fragen un -in galotne.",LABOT,"Wen?, Akkusativ, sitzen, fragen an -in Endung.",Jaukts LV+DE menuDesc — LB tulkojums ar DE pedagoģijas terminiem un LB saikņiem (an).,,
105,lb,kurss.lessonItems.5.title,Lekcija 5,Lekcija 5,LABOT,Lektioun 5,"Lekcija → Lektioun: LB lekcijas nosaukums, ne LV identiskums.",,
106,lb,kurss.lessonItems.6.menuDesc,"Skaitļi, daudzskaitlis, umlauti un lietvārdu daudzskaitļa formas.","Skaitļi, daudzskaitlis, umlauti un lietvārdu daudzskaitļa formas.",LABOT,"Zuelen, Plural, Umlauter an Pluralformen vun Nomen.",Jaukts LV+DE menuDesc — LB tulkojums ar DE pedagoģijas terminiem un LB saikņiem (an).,,
107,lb,kurss.lessonItems.6.title,Lekcija 6,Lekcija 6,LABOT,Lektioun 6,"Lekcija → Lektioun: LB lekcijas nosaukums, ne LV identiskums.",,
108,lb,kurss.lessonItems.7.menuDesc,"Pavēles izteiksme, uzrunas forma un daudzskaitlis.","Pavēles izteiksme, uzrunas forma un daudzskaitlis.",LABOT,"Imperativ, Ussproochform an Plural.",Jaukts LV+DE menuDesc — LB tulkojums ar DE pedagoģijas terminiem un LB saikņiem (an).,,
109,lb,kurss.lessonItems.7.title,Lekcija 7,Lekcija 7,LABOT,Lektioun 7,"Lekcija → Lektioun: LB lekcijas nosaukums, ne LV identiskums.",,
110,lb,kurss.lessonItems.8.menuDesc,"Refleksīvie darbības vārdi, e → i/ie maiņa un akuzatīvs.","Refleksīvie darbības vārdi, e → i/ie maiņa un akuzatīvs.",LABOT,"Reflexivverben, e → i/ie Wechsel an Akkusativ.",Jaukts LV+DE menuDesc — LB tulkojums ar DE pedagoģijas terminiem un LB saikņiem (an).,,
111,lb,kurss.lessonItems.8.title,Lekcija 8,Lekcija 8,LABOT,Lektioun 8,"Lekcija → Lektioun: LB lekcijas nosaukums, ne LV identiskums.",,
112,lb,kurss.lessonItems.9.menuDesc,"Vairāki priekšmeti, dieser/jener, vienskaitlis un daudzskaitlis.","Vairāki priekšmeti, dieser/jener, vienskaitlis un daudzskaitlis.",LABOT,"Méi Subjekter, dieser/jener, Singular an Plural.",Jaukts LV+DE menuDesc — LB tulkojums ar DE pedagoģijas terminiem un LB saikņiem (an).,,
113,lb,kurss.lessonItems.9.title,Lekcija 9,Lekcija 9,LABOT,Lektioun 9,"Lekcija → Lektioun: LB lekcijas nosaukums, ne LV identiskums.",,
114,lb,kurss.lessons,Lekcijas,Lekcijas,LABOT,Lektiounen,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
115,lb,kurss.panelLabel,Kurss,Kurss,LABOT,Cours,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
116,lb,kurss.pronunciation,Izruna,Izruna,LABOT,Aussprooch,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
117,lb,kurss.sections.grammar,Gramatika,Gramatika,NELABOT,,Gramatika ir LB/DE pedagoģijas kognāts — apzināta sakiritība ar LV gramatikas terminu.,,
118,lb,kurss.tipTitle,Padoms,Padoms,LABOT,Tipp,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
119,lb,kurss.title,Kurss,Kurss,LABOT,Cours,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
120,lb,menu.course,Kurss,Kurss,LABOT,Cours,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
121,lb,modes.easy,Viegls,Viegls,LABOT,Liicht,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
122,lb,progress.courseHeading,Kurss,Kurss,LABOT,Cours,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
123,lb,settings.appLanguage,Lietotnes valoda,Lietotnes valoda,LABOT,App-Sprooch,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
124,lb,spelling.writeAnswer,Ieraksti atbildi,Ieraksti atbildi,LABOT,Äntwert antippen,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
125,lb,study.minimal.formsLabel,Formas:,Formas:,LABOT,Formen:,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
126,lb,study.minimal.pluralLabel,DAUDZSK.,DAUDZSK.,LABOT,PLURAL,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
127,lb,study.minimal.tipLabel,Padoms:,Padoms:,LABOT,Tipp:,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
128,lb,study.sections.explanation,Skaidrojums,Skaidrojums,LABOT,Erklärung,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
129,lb,study.sections.remember,Atceries,Atceries,LABOT,Verhaalen,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
130,lb,study.sections.tip,Padoms,Padoms,LABOT,Tipp,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
131,lb,study.table.describes,Raksturo,Raksturo,LABOT,Beschreift,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
132,lb,study.table.translation,Tulkojums,Tulkojums,LABOT,Iwwersetzung,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
133,lb,tools.problemShort,Probl.,Probl.,NELABOT,,"Probl. ir apzināts DE mācību UI saīsinājums — pareizs LB kontekstā, identisks LV avotam.",,
134,lb,tools.spellingShort,Rakst.,Rakst.,LABOT,Schreiw.,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
135,lb,verb.guessImperfect,Uzmini imperfektu,Uzmini imperfektu,LABOT,Imperfekt erraten,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
136,lb,verb.present,Tagadne,Tagadne,LABOT,Géigenwart,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
137,lb,verb.translationPrefix,Tulkojums:,Tulkojums:,LABOT,Iwwersetzung:,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
138,lb,verb.writeImperfect,Uzraksti imperfektu,Uzraksti imperfektu,LABOT,Imperfekt schreiwen,LV UI teksts — LB tulkojums saskaņā ar lb 202 OWNER stilu (DE/FR ietekme).,,
