sequence,language,key,owner_current,owner_newValue,repo_before_json,repo_before_ui,repo_after_json,repo_after_ui,crowdin_before,crowdin_after,repo_status,crowdin_status,crowdin_verified,apply_status,verification_status
76,lb,kurss.lessonItems.1.menuDesc,"Darbības vārdi tagadnē, vārdiņi, gramatika un treniņš.","Verben am Present, kleng Wierder, Grammatik an Training.","Darbības vārdi tagadnē, vārdiņi, gramatika un treniņš.","Darbības vārdi tagadnē, vārdiņi, gramatika un treniņš.","Verben am Present, kleng Wierder, Grammatik an Training.","Verben am Present, kleng Wierder, Grammatik an Training.","Darbības vārdi tagadnē, vārdiņi, gramatika un treniņš.","Verben am Present, kleng Wierder, Grammatik an Training.",applied,posted,YES,applied_verified,pass
77,lb,kurss.lessonItems.1.title,Lekcija 1,Lektioun 1,Lekcija 1,Lekcija 1,Lektioun 1,Lektioun 1,Lekcija 1,Lektioun 1,applied,posted,YES,applied_verified,pass
78,lb,kurss.lessonItems.10.menuDesc,"Sein, können, veselība, vecums un profesijas.","Sein, können, Gesondheet, Alter an Beruffer.","Sein, können, veselība, vecums un profesijas.","Sein, können, veselība, vecums un profesijas.","Sein, können, Gesondheet, Alter an Beruffer.","Sein, können, Gesondheet, Alter an Beruffer.","Sein, können, veselība, vecums un profesijas.","Sein, können, Gesondheet, Alter an Beruffer.",applied,posted,YES,applied_verified,pass
79,lb,kurss.lessonItems.10.title,Lekcija 10,Lektioun 10,Lekcija 10,Lekcija 10,Lektioun 10,Lektioun 10,Lekcija 10,Lektioun 10,applied,posted,YES,applied_verified,pass
80,lb,kurss.lessonItems.11.menuDesc,"Haben, kein/keine/keinen, piederība un saliktie lietvārdi.","Haben, kein/keine/keinen, Besëtz an zesummegesate Nomen.","Haben, kein/keine/keinen, piederība un saliktie lietvārdi.","Haben, kein/keine/keinen, piederība un saliktie lietvārdi.","Haben, kein/keine/keinen, Besëtz an zesummegesate Nomen.","Haben, kein/keine/keinen, Besëtz an zesummegesate Nomen.","Haben, kein/keine/keinen, piederība un saliktie lietvārdi.","Haben, kein/keine/keinen, Besëtz an zesummegesate Nomen.",applied,posted,YES,applied_verified,pass
81,lb,kurss.lessonItems.11.title,Lekcija 11,Lektioun 11,Lekcija 11,Lekcija 11,Lektioun 11,Lektioun 11,Lekcija 11,Lektioun 11,applied,posted,YES,applied_verified,pass
82,lb,kurss.lessonItems.12.menuDesc,"Salīdzināmās pakāpes, als/wie, vecums un krāsas.","Vergläichsformen, als/wie, Alter an Faarwen.","Salīdzināmās pakāpes, als/wie, vecums un krāsas.","Salīdzināmās pakāpes, als/wie, vecums un krāsas.","Vergläichsformen, als/wie, Alter an Faarwen.","Vergläichsformen, als/wie, Alter an Faarwen.","Salīdzināmās pakāpes, als/wie, vecums un krāsas.","Vergläichsformen, als/wie, Alter an Faarwen.",applied,posted,YES,applied_verified,pass
83,lb,kurss.lessonItems.12.title,Lekcija 12,Lektioun 12,Lekcija 12,Lekcija 12,Lektioun 12,Lektioun 12,Lekcija 12,Lektioun 12,applied,posted,YES,applied_verified,pass
84,lb,kurss.lessonItems.13.menuDesc,"Der Körper, ķermeņa daļas, turnen un jeder.","Der Körper, Kierperdeeler, turnen an jeder.","Der Körper, ķermeņa daļas, turnen un jeder.","Der Körper, ķermeņa daļas, turnen un jeder.","Der Körper, Kierperdeeler, turnen an jeder.","Der Körper, Kierperdeeler, turnen an jeder.","Der Körper, ķermeņa daļas, turnen un jeder.","Der Körper, Kierperdeeler, turnen an jeder.",applied,posted,YES,applied_verified,pass
85,lb,kurss.lessonItems.13.title,Lekcija 13,Lektioun 13,Lekcija 13,Lekcija 13,Lektioun 13,Lektioun 13,Lekcija 13,Lektioun 13,applied,posted,YES,applied_verified,pass
86,lb,kurss.lessonItems.14.menuDesc,"müssen, wollen, mögen un modālie darbības vārdi.","müssen, wollen, mögen an modal Verben.","müssen, wollen, mögen un modālie darbības vārdi.","müssen, wollen, mögen un modālie darbības vārdi.","müssen, wollen, mögen an modal Verben.","müssen, wollen, mögen an modal Verben.","müssen, wollen, mögen un modālie darbības vārdi.","müssen, wollen, mögen an modal Verben.",applied,posted,YES,applied_verified,pass
87,lb,kurss.lessonItems.14.title,Lekcija 14,Lektioun 14,Lekcija 14,Lekcija 14,Lektioun 14,Lektioun 14,Lekcija 14,Lektioun 14,applied,posted,YES,applied_verified,pass
88,lb,kurss.lessonItems.15.menuDesc,"sollen, dürfen, essen un augļi.","sollen, dürfen, essen an Uebst.","sollen, dürfen, essen un augļi.","sollen, dürfen, essen un augļi.","sollen, dürfen, essen an Uebst.","sollen, dürfen, essen an Uebst.","sollen, dürfen, essen un augļi.","sollen, dürfen, essen an Uebst.",applied,posted,YES,applied_verified,pass
89,lb,kurss.lessonItems.15.title,Lekcija 15,Lektioun 15,Lekcija 15,Lekcija 15,Lektioun 15,Lektioun 15,Lekcija 15,Lektioun 15,applied,posted,YES,applied_verified,pass
90,lb,kurss.lessonItems.16.menuDesc,"Dativs, geben, sich nähern.","Dativ, geben, sich nähern.","Dativs, geben, sich nähern.","Dativs, geben, sich nähern.","Dativ, geben, sich nähern.","Dativ, geben, sich nähern.","Dativs, geben, sich nähern.","Dativ, geben, sich nähern.",applied,posted,YES,applied_verified,pass
91,lb,kurss.lessonItems.16.title,Lekcija 16,Lektioun 16,Lekcija 16,Lekcija 16,Lektioun 16,Lektioun 16,Lekcija 16,Lektioun 16,applied,posted,YES,applied_verified,pass
92,lb,kurss.lessonItems.17.title,Lekcija 17,Lektioun 17,Lekcija 17,Lekcija 17,Lektioun 17,Lektioun 17,Lekcija 17,Lektioun 17,applied,posted,YES,applied_verified,pass
93,lb,kurss.lessonItems.18.title,Lekcija 18,Lektioun 18,Lekcija 18,Lekcija 18,Lektioun 18,Lektioun 18,Lekcija 18,Lektioun 18,applied,posted,YES,applied_verified,pass
94,lb,kurss.lessonItems.19.title,Lekcija 19,Lektioun 19,Lekcija 19,Lekcija 19,Lektioun 19,Lektioun 19,Lekcija 19,Lektioun 19,applied,posted,YES,applied_verified,pass
95,lb,kurss.lessonItems.2.menuDesc,"Dialogi, vārdi, izruna, gramatika un pārtulkošana.","Dialoger, Wierder, Aussprooch, Grammatik an Iwwersetzen.","Dialogi, vārdi, izruna, gramatika un pārtulkošana.","Dialogi, vārdi, izruna, gramatika un pārtulkošana.","Dialoger, Wierder, Aussprooch, Grammatik an Iwwersetzen.","Dialoger, Wierder, Aussprooch, Grammatik an Iwwersetzen.","Dialogi, vārdi, izruna, gramatika un pārtulkošana.","Dialoger, Wierder, Aussprooch, Grammatik an Iwwersetzen.",applied,posted,YES,applied_verified,pass
96,lb,kurss.lessonItems.2.title,Lekcija 2,Lektioun 2,Lekcija 2,Lekcija 2,Lektioun 2,Lektioun 2,Lekcija 2,Lektioun 2,applied,posted,YES,applied_verified,pass
97,lb,kurss.lessonItems.20.menuDesc,"Haus, Stockwerk, Dativ/Akkusativ un saliktie lietvārdi.","Haus, Stockwerk, Dativ/Akkusativ an zesummegesate Nomen.","Haus, Stockwerk, Dativ/Akkusativ un saliktie lietvārdi.","Haus, Stockwerk, Dativ/Akkusativ un saliktie lietvārdi.","Haus, Stockwerk, Dativ/Akkusativ an zesummegesate Nomen.","Haus, Stockwerk, Dativ/Akkusativ an zesummegesate Nomen.","Haus, Stockwerk, Dativ/Akkusativ un saliktie lietvārdi.","Haus, Stockwerk, Dativ/Akkusativ an zesummegesate Nomen.",applied,posted,YES,applied_verified,pass
98,lb,kurss.lessonItems.20.title,Lekcija 20,Lektioun 20,Lekcija 20,Lekcija 20,Lektioun 20,Lektioun 20,Lekcija 20,Lektioun 20,applied,posted,YES,applied_verified,pass
99,lb,kurss.lessonItems.21.title,Lekcija 21,Lektioun 21,Lekcija 21,Lekcija 21,Lektioun 21,Lektioun 21,Lekcija 21,Lektioun 21,applied,posted,YES,applied_verified,pass
100,lb,kurss.lessonItems.3.menuDesc,"Dialogi, vārdi, izruna, gramatika un pārtulkošana.","Dialoger, Wierder, Aussprooch, Grammatik an Iwwersetzen.","Dialogi, vārdi, izruna, gramatika un pārtulkošana.","Dialogi, vārdi, izruna, gramatika un pārtulkošana.","Dialoger, Wierder, Aussprooch, Grammatik an Iwwersetzen.","Dialoger, Wierder, Aussprooch, Grammatik an Iwwersetzen.","Dialogi, vārdi, izruna, gramatika un pārtulkošana.","Dialoger, Wierder, Aussprooch, Grammatik an Iwwersetzen.",applied,posted,YES,applied_verified,pass
101,lb,kurss.lessonItems.3.title,Lekcija 3,Lektioun 3,Lekcija 3,Lekcija 3,Lektioun 3,Lektioun 3,Lekcija 3,Lektioun 3,applied,posted,YES,applied_verified,pass
102,lb,kurss.lessonItems.4.menuDesc,"Akuzatīvs, nehmen, hinlegen, hinausgehen un īpašības vārdi.","Akkusativ, nehmen, hinlegen, hinausgehen an Adjektiver.","Akuzatīvs, nehmen, hinlegen, hinausgehen un īpašības vārdi.","Akuzatīvs, nehmen, hinlegen, hinausgehen un īpašības vārdi.","Akkusativ, nehmen, hinlegen, hinausgehen an Adjektiver.","Akkusativ, nehmen, hinlegen, hinausgehen an Adjektiver.","Akuzatīvs, nehmen, hinlegen, hinausgehen un īpašības vārdi.","Akkusativ, nehmen, hinlegen, hinausgehen an Adjektiver.",applied,posted,YES,applied_verified,pass
103,lb,kurss.lessonItems.4.title,Lekcija 4,Lektioun 4,Lekcija 4,Lekcija 4,Lektioun 4,Lektioun 4,Lekcija 4,Lektioun 4,applied,posted,YES,applied_verified,pass
104,lb,kurss.lessonItems.5.menuDesc,"Wen?, akuzatīvs, sitzen, fragen un -in galotne.","Wen?, Akkusativ, sitzen, fragen an -in Endung.","Wen?, akuzatīvs, sitzen, fragen un -in galotne.","Wen?, akuzatīvs, sitzen, fragen un -in galotne.","Wen?, Akkusativ, sitzen, fragen an -in Endung.","Wen?, Akkusativ, sitzen, fragen an -in Endung.","Wen?, akuzatīvs, sitzen, fragen un -in galotne.","Wen?, Akkusativ, sitzen, fragen an -in Endung.",applied,posted,YES,applied_verified,pass
105,lb,kurss.lessonItems.5.title,Lekcija 5,Lektioun 5,Lekcija 5,Lekcija 5,Lektioun 5,Lektioun 5,Lekcija 5,Lektioun 5,applied,posted,YES,applied_verified,pass
106,lb,kurss.lessonItems.6.menuDesc,"Skaitļi, daudzskaitlis, umlauti un lietvārdu daudzskaitļa formas.","Zuelen, Plural, Umlauter an Pluralformen vun Nomen.","Skaitļi, daudzskaitlis, umlauti un lietvārdu daudzskaitļa formas.","Skaitļi, daudzskaitlis, umlauti un lietvārdu daudzskaitļa formas.","Zuelen, Plural, Umlauter an Pluralformen vun Nomen.","Zuelen, Plural, Umlauter an Pluralformen vun Nomen.","Skaitļi, daudzskaitlis, umlauti un lietvārdu daudzskaitļa formas.","Zuelen, Plural, Umlauter an Pluralformen vun Nomen.",applied,posted,YES,applied_verified,pass
107,lb,kurss.lessonItems.6.title,Lekcija 6,Lektioun 6,Lekcija 6,Lekcija 6,Lektioun 6,Lektioun 6,Lekcija 6,Lektioun 6,applied,posted,YES,applied_verified,pass
108,lb,kurss.lessonItems.7.menuDesc,"Pavēles izteiksme, uzrunas forma un daudzskaitlis.","Imperativ, Uriedsform an Plural.","Pavēles izteiksme, uzrunas forma un daudzskaitlis.","Pavēles izteiksme, uzrunas forma un daudzskaitlis.","Imperativ, Uriedsform an Plural.","Imperativ, Uriedsform an Plural.","Pavēles izteiksme, uzrunas forma un daudzskaitlis.","Imperativ, Uriedsform an Plural.",applied,posted,YES,applied_verified,pass
109,lb,kurss.lessonItems.7.title,Lekcija 7,Lektioun 7,Lekcija 7,Lekcija 7,Lektioun 7,Lektioun 7,Lekcija 7,Lektioun 7,applied,posted,YES,applied_verified,pass
110,lb,kurss.lessonItems.8.menuDesc,"Refleksīvie darbības vārdi, e → i/ie maiņa un akuzatīvs.","Reflexivverben, e → i/ie Wechsel an Akkusativ.","Refleksīvie darbības vārdi, e → i/ie maiņa un akuzatīvs.","Refleksīvie darbības vārdi, e → i/ie maiņa un akuzatīvs.","Reflexivverben, e → i/ie Wechsel an Akkusativ.","Reflexivverben, e → i/ie Wechsel an Akkusativ.","Refleksīvie darbības vārdi, e → i/ie maiņa un akuzatīvs.","Reflexivverben, e → i/ie Wechsel an Akkusativ.",applied,posted,YES,applied_verified,pass
111,lb,kurss.lessonItems.8.title,Lekcija 8,Lektioun 8,Lekcija 8,Lekcija 8,Lektioun 8,Lektioun 8,Lekcija 8,Lektioun 8,applied,posted,YES,applied_verified,pass
112,lb,kurss.lessonItems.9.menuDesc,"Vairāki priekšmeti, dieser/jener, vienskaitlis un daudzskaitlis.","Méi Subjekter, dieser/jener, Singular an Plural.","Vairāki priekšmeti, dieser/jener, vienskaitlis un daudzskaitlis.","Vairāki priekšmeti, dieser/jener, vienskaitlis un daudzskaitlis.","Méi Subjekter, dieser/jener, Singular an Plural.","Méi Subjekter, dieser/jener, Singular an Plural.","Vairāki priekšmeti, dieser/jener, vienskaitlis un daudzskaitlis.","Méi Subjekter, dieser/jener, Singular an Plural.",applied,posted,YES,applied_verified,pass
113,lb,kurss.lessonItems.9.title,Lekcija 9,Lektioun 9,Lekcija 9,Lekcija 9,Lektioun 9,Lektioun 9,Lekcija 9,Lektioun 9,applied,posted,YES,applied_verified,pass
114,lb,kurss.lessons,Lekcijas,Lektiounen,Lekcijas,Lekcijas,Lektiounen,Lektiounen,Lekcijas,Lektiounen,applied,posted,YES,applied_verified,pass
115,lb,kurss.panelLabel,Kurss,Cours,Kurss,Kurss,Cours,Cours,Kurss,Cours,applied,posted,YES,applied_verified,pass
116,lb,kurss.pronunciation,Izruna,Aussprooch,Izruna,Izruna,Aussprooch,Aussprooch,Izruna,Aussprooch,applied,posted,YES,applied_verified,pass
118,lb,kurss.tipTitle,Padoms,Tipp,Padoms,Padoms,Tipp,Tipp,Padoms,Tipp,applied,posted,YES,applied_verified,pass
119,lb,kurss.title,Kurss,Cours,Kurss,Kurss,Cours,Cours,Kurss,Cours,applied,posted,YES,applied_verified,pass
120,lb,menu.course,Kurss,Cours,Kurss,Kurss,Cours,Cours,Kurss,Cours,applied,posted,YES,applied_verified,pass
121,lb,modes.easy,Viegls,Liicht,Viegls,Viegls,Liicht,Liicht,Viegls,Liicht,applied,posted,YES,applied_verified,pass
122,lb,progress.courseHeading,Kurss,Cours,Kurss,Kurss,Cours,Cours,Kurss,Cours,applied,posted,YES,applied_verified,pass
123,lb,settings.appLanguage,Lietotnes valoda,App-Sprooch,Lietotnes valoda,Lietotnes valoda,App-Sprooch,App-Sprooch,Lietotnes valoda,App-Sprooch,applied,posted,YES,applied_verified,pass
124,lb,spelling.writeAnswer,Ieraksti atbildi,Gëff d'Äntwert an,Ieraksti atbildi,Ieraksti atbildi,Gëff d'Äntwert an,Gëff d'Äntwert an,Ieraksti atbildi,Gëff d'Äntwert an,applied,posted,YES,applied_verified,pass
125,lb,study.minimal.formsLabel,Formas:,Formen:,Formas:,Formas:,Formen:,Formen:,Formas:,Formen:,applied,posted,YES,applied_verified,pass
126,lb,study.minimal.pluralLabel,DAUDZSK.,PLURAL,DAUDZSK.,DAUDZSK.,PLURAL,PLURAL,DAUDZSK.,PLURAL,applied,posted,YES,applied_verified,pass
127,lb,study.minimal.tipLabel,Padoms:,Tipp:,Padoms:,Padoms:,Tipp:,Tipp:,Padoms:,Tipp:,applied,posted,YES,applied_verified,pass
128,lb,study.sections.explanation,Skaidrojums,Erklärung,Skaidrojums,Skaidrojums,Erklärung,Erklärung,Skaidrojums,Erklärung,applied,posted,YES,applied_verified,pass
129,lb,study.sections.remember,Atceries,Denk drun,Atceries,Atceries,Denk drun,Denk drun,Atceries,Denk drun,applied,posted,YES,applied_verified,pass
130,lb,study.sections.tip,Padoms,Tipp,Padoms,Padoms,Tipp,Tipp,Padoms,Tipp,applied,posted,YES,applied_verified,pass
131,lb,study.table.describes,Raksturo,Beschreift,Raksturo,Raksturo,Beschreift,Beschreift,Raksturo,Beschreift,applied,posted,YES,applied_verified,pass
132,lb,study.table.translation,Tulkojums,Iwwersetzung,Tulkojums,Tulkojums,Iwwersetzung,Iwwersetzung,Tulkojums,Iwwersetzung,applied,posted,YES,applied_verified,pass
134,lb,tools.spellingShort,Rakst.,Schreiw.,Rakst.,Rakst.,Schreiw.,Schreiw.,Rakst.,Schreiw.,applied,posted,YES,applied_verified,pass
135,lb,verb.guessImperfect,Uzmini imperfektu,Imperfekt erraten,Uzmini imperfektu,Uzmini imperfektu,Imperfekt erraten,Imperfekt erraten,Uzmini imperfektu,Imperfekt erraten,applied,posted,YES,applied_verified,pass
136,lb,verb.present,Tagadne,Géigenwart,Tagadne,Tagadne,Géigenwart,Géigenwart,Tagadne,Géigenwart,applied,posted,YES,applied_verified,pass
137,lb,verb.translationPrefix,Tulkojums:,Iwwersetzung:,Tulkojums:,Tulkojums:,Iwwersetzung:,Iwwersetzung:,Tulkojums:,Iwwersetzung:,applied,posted,YES,applied_verified,pass
138,lb,verb.writeImperfect,Uzraksti imperfektu,Imperfekt schreiwen,Uzraksti imperfektu,Uzraksti imperfektu,Imperfekt schreiwen,Imperfekt schreiwen,Uzraksti imperfektu,Imperfekt schreiwen,applied,posted,YES,applied_verified,pass
