id,language,key,lvSource,current,ownerStatus,newValue,crowdinLock,lockEnforced,crowdinProtection,reasonCategory,ownerReason,sourceManifestStatus,jsonUiMatch,currentEqualsLvSource
"22","pl","direction.nativeToDe","🔄 {code} ➔ DE","🔄 {code} ➔ DE","NELABOT","🔄 {code} ➔ DE","YES","NO","PENDING_APPROVAL","DE_CODE","Tehnisks virziena indikators; DE kods un {code} placeholder ir apzināti vienādi.","NELABOT_CANDIDATE","true","true"
"23","pl","kurss.lessonItems.19.menuDesc","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","NELABOT","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","YES","NO","PENDING_APPROVAL","GERMAN_PEDAGOGY","Virkne satur vācu valodas mācību terminus/piemērus; nav palicis tulkojams LV teksts.","NELABOT_CANDIDATE","true","true"
"24","pl","kurss.lessonItems.21.menuDesc","woher / wohin / wo, von / aus / mit + Dativ.","woher / wohin / wo, von / aus / mit + Dativ.","NELABOT","woher / wohin / wo, von / aus / mit + Dativ.","YES","NO","PENDING_APPROVAL","GERMAN_PEDAGOGY","Virkne satur vācu valodas mācību terminus/piemērus; nav palicis tulkojams LV teksts.","NELABOT_CANDIDATE","true","true"
"25","pl","languageSelect.footer","Deutsch lernen","Deutsch lernen","LABOT","Ucz się niemieckiego","NO","NO","NOT_APPLICABLE","REAL_UNTRANSLATED","Neiztulkots vācu UI teksts; citās mērķvalodās šī atslēga ir lokalizēta.","NELABOT_CANDIDATE","true","true"
"26","pl","languageSelect.title","Sprache wählen","Sprache wählen","LABOT","Wybierz język","NO","NO","NOT_APPLICABLE","REAL_UNTRANSLATED","Neiztulkots vācu UI teksts; citās mērķvalodās šī atslēga ir lokalizēta.","NELABOT_CANDIDATE","true","true"
"27","pl","splash.subtitle","Deutsch lernen","Deutsch lernen","LABOT","Ucz się niemieckiego","NO","NO","NOT_APPLICABLE","REAL_UNTRANSLATED","Neiztulkots vācu UI teksts; citās mērķvalodās šī atslēga ir lokalizēta.","NELABOT_CANDIDATE","true","true"
"28","pl","study.table.german","DE","DE","NELABOT","DE","YES","NO","PENDING_APPROVAL","DE_CODE","DE ir vācu valodas kolonnas kods.","NELABOT_CANDIDATE","true","true"
"29","pl","verb.hintSessionProgress","{label}: {current} / {total}. {tap}","{label}: {current} / {total}. {tap}","NELABOT","{label}: {current} / {total}. {tap}","YES","NO","PENDING_APPROVAL","PLACEHOLDER","Virkne sastāv tikai no placeholderiem un pieturzīmēm; lokalizētais teksts tiek ievietots caur placeholderiem.","NELABOT_CANDIDATE","true","true"
"30","pl","verb.infinitiv","Infinitiv","Infinitiv","LABOT","Bezokolicznik","NO","NO","NOT_APPLICABLE","REAL_UNTRANSLATED","Mērķvalodā terminam ir sava lokalizēta forma; identiskā vācu forma nav OWNER lock.","NELABOT_CANDIDATE","true","true"
"31","uk","direction.deToNative","🔄 DE ➔ {code}","🔄 DE ➔ {code}","NELABOT","🔄 DE ➔ {code}","YES","NO","PENDING_APPROVAL","DE_CODE","Tehnisks virziena indikators; DE kods un {code} placeholder ir apzināti vienādi.","NELABOT_CANDIDATE","true","true"
"32","uk","direction.nativeToDe","🔄 {code} ➔ DE","🔄 {code} ➔ DE","NELABOT","🔄 {code} ➔ DE","YES","NO","PENDING_APPROVAL","DE_CODE","Tehnisks virziena indikators; DE kods un {code} placeholder ir apzināti vienādi.","NELABOT_CANDIDATE","true","true"
"33","uk","kurss.lessonItems.19.menuDesc","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","NELABOT","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","YES","NO","PENDING_APPROVAL","GERMAN_PEDAGOGY","Virkne satur vācu valodas mācību terminus/piemērus; nav palicis tulkojams LV teksts.","NELABOT_CANDIDATE","true","true"
"34","uk","kurss.lessonItems.21.menuDesc","woher / wohin / wo, von / aus / mit + Dativ.","woher / wohin / wo, von / aus / mit + Dativ.","NELABOT","woher / wohin / wo, von / aus / mit + Dativ.","YES","NO","PENDING_APPROVAL","GERMAN_PEDAGOGY","Virkne satur vācu valodas mācību terminus/piemērus; nav palicis tulkojams LV teksts.","NELABOT_CANDIDATE","true","true"
"35","uk","languageSelect.footer","Deutsch lernen","Deutsch lernen","LABOT","Вивчайте німецьку","NO","NO","NOT_APPLICABLE","REAL_UNTRANSLATED","Neiztulkots vācu UI teksts; citās mērķvalodās šī atslēga ir lokalizēta.","NELABOT_CANDIDATE","true","true"
"36","uk","languageSelect.title","Sprache wählen","Sprache wählen","LABOT","Виберіть мову","NO","NO","NOT_APPLICABLE","REAL_UNTRANSLATED","Neiztulkots vācu UI teksts; citās mērķvalodās šī atslēga ir lokalizēta.","NELABOT_CANDIDATE","true","true"
"37","uk","splash.subtitle","Deutsch lernen","Deutsch lernen","LABOT","Вивчайте німецьку","NO","NO","NOT_APPLICABLE","REAL_UNTRANSLATED","Neiztulkots vācu UI teksts; citās mērķvalodās šī atslēga ir lokalizēta.","NELABOT_CANDIDATE","true","true"
"38","uk","study.table.german","DE","DE","NELABOT","DE","YES","NO","PENDING_APPROVAL","DE_CODE","DE ir vācu valodas kolonnas kods.","NELABOT_CANDIDATE","true","true"
"39","uk","verb.hintSessionProgress","{label}: {current} / {total}. {tap}","{label}: {current} / {total}. {tap}","NELABOT","{label}: {current} / {total}. {tap}","YES","NO","PENDING_APPROVAL","PLACEHOLDER","Virkne sastāv tikai no placeholderiem un pieturzīmēm; lokalizētais teksts tiek ievietots caur placeholderiem.","NELABOT_CANDIDATE","true","true"
"40","uk","verb.infinitiv","Infinitiv","Infinitiv","LABOT","Інфінітив","NO","NO","NOT_APPLICABLE","REAL_UNTRANSLATED","Mērķvalodā terminam ir sava lokalizēta forma; identiskā vācu forma nav OWNER lock.","NELABOT_CANDIDATE","true","true"
"41","et","direction.deToNative","🔄 DE ➔ {code}","🔄 DE ➔ {code}","NELABOT","🔄 DE ➔ {code}","YES","NO","PENDING_APPROVAL","DE_CODE","Tehnisks virziena indikators; DE kods un {code} placeholder ir apzināti vienādi.","NELABOT_CANDIDATE","true","true"
"42","et","direction.nativeToDe","🔄 {code} ➔ DE","🔄 {code} ➔ DE","NELABOT","🔄 {code} ➔ DE","YES","NO","PENDING_APPROVAL","DE_CODE","Tehnisks virziena indikators; DE kods un {code} placeholder ir apzināti vienādi.","NELABOT_CANDIDATE","true","true"
"43","et","kurss.lessonItems.19.menuDesc","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","NELABOT","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","YES","NO","PENDING_APPROVAL","GERMAN_PEDAGOGY","Virkne satur vācu valodas mācību terminus/piemērus; nav palicis tulkojams LV teksts.","NELABOT_CANDIDATE","true","true"
"44","et","kurss.lessonItems.21.menuDesc","woher / wohin / wo, von / aus / mit + Dativ.","woher / wohin / wo, von / aus / mit + Dativ.","NELABOT","woher / wohin / wo, von / aus / mit + Dativ.","YES","NO","PENDING_APPROVAL","GERMAN_PEDAGOGY","Virkne satur vācu valodas mācību terminus/piemērus; nav palicis tulkojams LV teksts.","NELABOT_CANDIDATE","true","true"
"45","et","languageSelect.footer","Deutsch lernen","Deutsch lernen","LABOT","Õpi saksa keelt","NO","NO","NOT_APPLICABLE","REAL_UNTRANSLATED","Neiztulkots vācu UI teksts; citās mērķvalodās šī atslēga ir lokalizēta.","NELABOT_CANDIDATE","true","true"
"46","et","languageSelect.title","Sprache wählen","Sprache wählen","LABOT","Vali keel","NO","NO","NOT_APPLICABLE","REAL_UNTRANSLATED","Neiztulkots vācu UI teksts; citās mērķvalodās šī atslēga ir lokalizēta.","NELABOT_CANDIDATE","true","true"
"47","et","splash.subtitle","Deutsch lernen","Deutsch lernen","LABOT","Õpi saksa keelt","NO","NO","NOT_APPLICABLE","REAL_UNTRANSLATED","Neiztulkots vācu UI teksts; citās mērķvalodās šī atslēga ir lokalizēta.","NELABOT_CANDIDATE","true","true"
"48","et","study.table.german","DE","DE","NELABOT","DE","YES","NO","PENDING_APPROVAL","DE_CODE","DE ir vācu valodas kolonnas kods.","NELABOT_CANDIDATE","true","true"
"49","et","verb.hintSessionProgress","{label}: {current} / {total}. {tap}","{label}: {current} / {total}. {tap}","NELABOT","{label}: {current} / {total}. {tap}","YES","NO","PENDING_APPROVAL","PLACEHOLDER","Virkne sastāv tikai no placeholderiem un pieturzīmēm; lokalizētais teksts tiek ievietots caur placeholderiem.","NELABOT_CANDIDATE","true","true"
"50","et","verb.infinitiv","Infinitiv","Infinitiv","LABOT","Infinitiiv","NO","NO","NOT_APPLICABLE","REAL_UNTRANSLATED","Mērķvalodā terminam ir sava lokalizēta forma; identiskā vācu forma nav OWNER lock.","NELABOT_CANDIDATE","true","true"
"51","en","direction.deToNative","🔄 DE ➔ {code}","🔄 DE ➔ {code}","NELABOT","🔄 DE ➔ {code}","YES","NO","PENDING_APPROVAL","DE_CODE","Tehnisks virziena indikators; DE kods un {code} placeholder ir apzināti vienādi.","NELABOT_CANDIDATE","true","true"
"52","en","direction.nativeToDe","🔄 {code} ➔ DE","🔄 {code} ➔ DE","NELABOT","🔄 {code} ➔ DE","YES","NO","PENDING_APPROVAL","DE_CODE","Tehnisks virziena indikators; DE kods un {code} placeholder ir apzināti vienādi.","NELABOT_CANDIDATE","true","true"
"53","en","kurss.lessonItems.19.menuDesc","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","NELABOT","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","YES","NO","PENDING_APPROVAL","GERMAN_PEDAGOGY","Virkne satur vācu valodas mācību terminus/piemērus; nav palicis tulkojams LV teksts.","NELABOT_CANDIDATE","true","true"
"54","en","study.table.german","DE","DE","NELABOT","DE","YES","NO","PENDING_APPROVAL","DE_CODE","DE ir vācu valodas kolonnas kods.","NELABOT_CANDIDATE","true","true"
"55","en","verb.hintSessionProgress","{label}: {current} / {total}. {tap}","{label}: {current} / {total}. {tap}","NELABOT","{label}: {current} / {total}. {tap}","YES","NO","PENDING_APPROVAL","PLACEHOLDER","Virkne sastāv tikai no placeholderiem un pieturzīmēm; lokalizētais teksts tiek ievietots caur placeholderiem.","NELABOT_CANDIDATE","true","true"
"56","ro","direction.deToNative","🔄 DE ➔ {code}","🔄 DE ➔ {code}","NELABOT","🔄 DE ➔ {code}","YES","NO","PENDING_APPROVAL","DE_CODE","Tehnisks virziena indikators; DE kods un {code} placeholder ir apzināti vienādi.","NELABOT_CANDIDATE","true","true"
"57","ro","direction.nativeToDe","🔄 {code} ➔ DE","🔄 {code} ➔ DE","NELABOT","🔄 {code} ➔ DE","YES","NO","PENDING_APPROVAL","DE_CODE","Tehnisks virziena indikators; DE kods un {code} placeholder ir apzināti vienādi.","OWNER_REVIEW_REQUIRED","true","true"
"58","ro","kurss.lessonItems.19.menuDesc","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","NELABOT","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","YES","NO","PENDING_APPROVAL","GERMAN_PEDAGOGY","Virkne satur vācu valodas mācību terminus/piemērus; nav palicis tulkojams LV teksts.","NELABOT_CANDIDATE","true","true"
"59","ro","kurss.lessonItems.21.menuDesc","woher / wohin / wo, von / aus / mit + Dativ.","woher / wohin / wo, von / aus / mit + Dativ.","NELABOT","woher / wohin / wo, von / aus / mit + Dativ.","YES","NO","PENDING_APPROVAL","GERMAN_PEDAGOGY","Virkne satur vācu valodas mācību terminus/piemērus; nav palicis tulkojams LV teksts.","NELABOT_CANDIDATE","true","true"
"60","ro","study.table.german","DE","DE","NELABOT","DE","YES","NO","PENDING_APPROVAL","DE_CODE","DE ir vācu valodas kolonnas kods.","NELABOT_CANDIDATE","true","true"
"61","ro","verb.hintSessionProgress","{label}: {current} / {total}. {tap}","{label}: {current} / {total}. {tap}","NELABOT","{label}: {current} / {total}. {tap}","YES","NO","PENDING_APPROVAL","PLACEHOLDER","Virkne sastāv tikai no placeholderiem un pieturzīmēm; lokalizētais teksts tiek ievietots caur placeholderiem.","OWNER_REVIEW_REQUIRED","true","true"
"62","ro","verb.infinitiv","Infinitiv","Infinitiv","NELABOT","Infinitiv","YES","NO","PENDING_APPROVAL","LATIN_GRAMMAR","Rakstība “Infinitiv” ir pareizs mērķvalodas termins vai apzināti saglabāts vācu gramatikas apzīmējums.","NELABOT_CANDIDATE","true","true"
"63","bg","direction.nativeToDe","🔄 {code} ➔ DE","🔄 {code} ➔ DE","NELABOT","🔄 {code} ➔ DE","YES","NO","PENDING_APPROVAL","DE_CODE","Tehnisks virziena indikators; DE kods un {code} placeholder ir apzināti vienādi.","OWNER_REVIEW_REQUIRED","true","true"
"64","bg","kurss.lessonItems.19.menuDesc","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","NELABOT","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","YES","NO","PENDING_APPROVAL","GERMAN_PEDAGOGY","Virkne satur vācu valodas mācību terminus/piemērus; nav palicis tulkojams LV teksts.","NELABOT_CANDIDATE","true","true"
"65","bg","verb.hintSessionProgress","{label}: {current} / {total}. {tap}","{label}: {current} / {total}. {tap}","NELABOT","{label}: {current} / {total}. {tap}","YES","NO","PENDING_APPROVAL","PLACEHOLDER","Virkne sastāv tikai no placeholderiem un pieturzīmēm; lokalizētais teksts tiek ievietots caur placeholderiem.","OWNER_REVIEW_REQUIRED","true","true"
"66","tr","direction.deToNative","🔄 DE ➔ {code}","🔄 DE ➔ {code}","NELABOT","🔄 DE ➔ {code}","YES","NO","PENDING_APPROVAL","DE_CODE","Tehnisks virziena indikators; DE kods un {code} placeholder ir apzināti vienādi.","NELABOT_CANDIDATE","true","true"
"67","tr","direction.nativeToDe","🔄 {code} ➔ DE","🔄 {code} ➔ DE","NELABOT","🔄 {code} ➔ DE","YES","NO","PENDING_APPROVAL","DE_CODE","Tehnisks virziena indikators; DE kods un {code} placeholder ir apzināti vienādi.","NELABOT_CANDIDATE","true","true"
"68","tr","kurss.lessonItems.19.menuDesc","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","NELABOT","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","YES","NO","PENDING_APPROVAL","GERMAN_PEDAGOGY","Virkne satur vācu valodas mācību terminus/piemērus; nav palicis tulkojams LV teksts.","NELABOT_CANDIDATE","true","true"
"69","tr","kurss.lessonItems.21.menuDesc","woher / wohin / wo, von / aus / mit + Dativ.","woher / wohin / wo, von / aus / mit + Dativ.","NELABOT","woher / wohin / wo, von / aus / mit + Dativ.","YES","NO","PENDING_APPROVAL","GERMAN_PEDAGOGY","Virkne satur vācu valodas mācību terminus/piemērus; nav palicis tulkojams LV teksts.","NELABOT_CANDIDATE","true","true"
"70","tr","study.table.german","DE","DE","NELABOT","DE","YES","NO","PENDING_APPROVAL","DE_CODE","DE ir vācu valodas kolonnas kods.","NELABOT_CANDIDATE","true","true"
"71","gr","direction.deToNative","🔄 DE ➔ {code}","🔄 DE ➔ {code}","NELABOT","🔄 DE ➔ {code}","YES","NO","PENDING_APPROVAL","DE_CODE","Tehnisks virziena indikators; DE kods un {code} placeholder ir apzināti vienādi.","OWNER_REVIEW_REQUIRED","true","true"
"72","gr","direction.nativeToDe","🔄 {code} ➔ DE","🔄 {code} ➔ DE","NELABOT","🔄 {code} ➔ DE","YES","NO","PENDING_APPROVAL","DE_CODE","Tehnisks virziena indikators; DE kods un {code} placeholder ir apzināti vienādi.","OWNER_REVIEW_REQUIRED","true","true"
"73","gr","kurss.lessonItems.19.menuDesc","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","NELABOT","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","YES","NO","PENDING_APPROVAL","GERMAN_PEDAGOGY","Virkne satur vācu valodas mācību terminus/piemērus; nav palicis tulkojams LV teksts.","NELABOT_CANDIDATE","true","true"
"74","gr","study.table.german","DE","DE","NELABOT","DE","YES","NO","PENDING_APPROVAL","DE_CODE","DE ir vācu valodas kolonnas kods.","NELABOT_CANDIDATE","true","true"
"75","gr","verb.hintSessionProgress","{label}: {current} / {total}. {tap}","{label}: {current} / {total}. {tap}","NELABOT","{label}: {current} / {total}. {tap}","YES","NO","PENDING_APPROVAL","PLACEHOLDER","Virkne sastāv tikai no placeholderiem un pieturzīmēm; lokalizētais teksts tiek ievietots caur placeholderiem.","OWNER_REVIEW_REQUIRED","true","true"
"76","sq","direction.deToNative","🔄 DE ➔ {code}","🔄 DE ➔ {code}","NELABOT","🔄 DE ➔ {code}","YES","NO","PENDING_APPROVAL","DE_CODE","Tehnisks virziena indikators; DE kods un {code} placeholder ir apzināti vienādi.","NELABOT_CANDIDATE","true","true"
"77","sq","direction.nativeToDe","🔄 {code} ➔ DE","🔄 {code} ➔ DE","NELABOT","🔄 {code} ➔ DE","YES","NO","PENDING_APPROVAL","DE_CODE","Tehnisks virziena indikators; DE kods un {code} placeholder ir apzināti vienādi.","NELABOT_CANDIDATE","true","true"
"78","sq","kurss.lessonItems.19.menuDesc","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","NELABOT","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","YES","NO","PENDING_APPROVAL","GERMAN_PEDAGOGY","Virkne satur vācu valodas mācību terminus/piemērus; nav palicis tulkojams LV teksts.","NELABOT_CANDIDATE","true","true"
"79","sq","study.table.german","DE","DE","NELABOT","DE","YES","NO","PENDING_APPROVAL","DE_CODE","DE ir vācu valodas kolonnas kods.","NELABOT_CANDIDATE","true","true"
"80","sq","verb.hintSessionProgress","{label}: {current} / {total}. {tap}","{label}: {current} / {total}. {tap}","NELABOT","{label}: {current} / {total}. {tap}","YES","NO","PENDING_APPROVAL","PLACEHOLDER","Virkne sastāv tikai no placeholderiem un pieturzīmēm; lokalizētais teksts tiek ievietots caur placeholderiem.","OWNER_REVIEW_REQUIRED","true","true"
"81","mk","direction.nativeToDe","🔄 {code} ➔ DE","🔄 {code} ➔ DE","NELABOT","🔄 {code} ➔ DE","YES","NO","PENDING_APPROVAL","DE_CODE","Tehnisks virziena indikators; DE kods un {code} placeholder ir apzināti vienādi.","OWNER_REVIEW_REQUIRED","true","true"
"82","mk","kurss.lessonItems.19.menuDesc","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","NELABOT","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","YES","NO","PENDING_APPROVAL","GERMAN_PEDAGOGY","Virkne satur vācu valodas mācību terminus/piemērus; nav palicis tulkojams LV teksts.","NELABOT_CANDIDATE","true","true"
"83","mk","verb.hintSessionProgress","{label}: {current} / {total}. {tap}","{label}: {current} / {total}. {tap}","NELABOT","{label}: {current} / {total}. {tap}","YES","NO","PENDING_APPROVAL","PLACEHOLDER","Virkne sastāv tikai no placeholderiem un pieturzīmēm; lokalizētais teksts tiek ievietots caur placeholderiem.","OWNER_REVIEW_REQUIRED","true","true"
"84","sl","direction.nativeToDe","🔄 {code} ➔ DE","🔄 {code} ➔ DE","NELABOT","🔄 {code} ➔ DE","YES","NO","PENDING_APPROVAL","DE_CODE","Tehnisks virziena indikators; DE kods un {code} placeholder ir apzināti vienādi.","OWNER_REVIEW_REQUIRED","true","true"
"85","sl","kurss.lessonItems.19.menuDesc","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","NELABOT","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","YES","NO","PENDING_APPROVAL","GERMAN_PEDAGOGY","Virkne satur vācu valodas mācību terminus/piemērus; nav palicis tulkojams LV teksts.","NELABOT_CANDIDATE","true","true"
"86","sl","verb.hintSessionProgress","{label}: {current} / {total}. {tap}","{label}: {current} / {total}. {tap}","NELABOT","{label}: {current} / {total}. {tap}","YES","NO","PENDING_APPROVAL","PLACEHOLDER","Virkne sastāv tikai no placeholderiem un pieturzīmēm; lokalizētais teksts tiek ievietots caur placeholderiem.","OWNER_REVIEW_REQUIRED","true","true"
"87","bs","direction.deToNative","🔄 DE ➔ {code}","🔄 DE ➔ {code}","NELABOT","🔄 DE ➔ {code}","YES","NO","PENDING_APPROVAL","DE_CODE","Tehnisks virziena indikators; DE kods un {code} placeholder ir apzināti vienādi.","NELABOT_CANDIDATE","true","true"
"88","bs","direction.nativeToDe","🔄 {code} ➔ DE","🔄 {code} ➔ DE","NELABOT","🔄 {code} ➔ DE","YES","NO","PENDING_APPROVAL","DE_CODE","Tehnisks virziena indikators; DE kods un {code} placeholder ir apzināti vienādi.","NELABOT_CANDIDATE","true","true"
