sequence,key,current,newValue,before_json,before_ui,after_json,after_ui,repo_status,crowdin_status,crowdin_verified,verification_status
18,buttons.listenPlural,Klausīties daudzskaitli,D'Méizuel lauschteren,D'Méizuel lauschteren,D'Méizuel lauschteren,D'Méizuel lauschteren,D'Méizuel lauschteren,already_applied,already_applied,YES,already_pass
19,buttons.listenWithWord,Klausīties: {word},Lauschteren: {word},Lauschteren: {word},Lauschteren: {word},Lauschteren: {word},Lauschteren: {word},already_applied,already_applied,YES,already_pass
20,buttons.markMastered,100% zinu,Ech kann et zu 100 %,Ech kann et zu 100 %,Ech kann et zu 100 %,Ech kann et zu 100 %,Ech kann et zu 100 %,already_applied,already_applied,YES,already_pass
21,buttons.markSessionLearned,🏅 Atzīmēt sesiju kā iemācītu,🏅 Sessioun als geléiert markéieren,🏅 Sessioun als geléiert markéieren,🏅 Sessioun als geléiert markéieren,🏅 Sessioun als geléiert markéieren,🏅 Sessioun als geléiert markéieren,already_applied,already_applied,YES,already_pass
22,buttons.markUnwanted,Atzīmēt kā nevajadzīgu,Als net gebraucht markéieren,Als net gebraucht markéieren,Als net gebraucht markéieren,Als net gebraucht markéieren,Als net gebraucht markéieren,already_applied,already_applied,YES,already_pass
23,buttons.masteredWords,100% zināmi,Zu 100 % bekannt,Zu 100 % bekannt,Zu 100 % bekannt,Zu 100 % bekannt,Zu 100 % bekannt,already_applied,already_applied,YES,already_pass
24,buttons.monthlyReview,Mēneša pārskats,Mountsiwwersiicht,Mountsiwwersiicht,Mountsiwwersiicht,Mountsiwwersiicht,Mountsiwwersiicht,already_applied,already_applied,YES,already_pass
25,buttons.restartSession,🔄 Pārskatīt sesiju no jauna,🔄 D'Sessioun nach eng Kéier iwwerpréiwen,🔄 D'Sessioun nach eng Kéier iwwerpréiwen,🔄 D'Sessioun nach eng Kéier iwwerpréiwen,🔄 D'Sessioun nach eng Kéier iwwerpréiwen,🔄 D'Sessioun nach eng Kéier iwwerpréiwen,already_applied,already_applied,YES,already_pass
26,buttons.shuffleVerbs,Jaukt darbības vārdus,Verbe mëschen,Verbe mëschen,Verbe mëschen,Verbe mëschen,Verbe mëschen,already_applied,already_applied,YES,already_pass
27,buttons.unknown,Nezinu,Ech weess et net,Ech weess et net,Ech weess et net,Ech weess et net,Ech weess et net,already_applied,already_applied,YES,already_pass
28,buttons.unwantedWords,Nevajadzīgie vārdi,Net gebraucht Wierder,Net gebraucht Wierder,Net gebraucht Wierder,Net gebraucht Wierder,Net gebraucht Wierder,already_applied,already_applied,YES,already_pass
29,buttons.weeklyReview,Nedēļas pārskats,Wocheniwwersiicht,Wocheniwwersiicht,Wocheniwwersiicht,Wocheniwwersiicht,Wocheniwwersiicht,already_applied,already_applied,YES,already_pass
30,card.cardNotFound,Kartīte netika atrasta,Kaart net fonnt,Kaart net fonnt,Kaart net fonnt,Kaart net fonnt,Kaart net fonnt,already_applied,already_applied,YES,already_pass
31,card.lastSessionLabel,Pēdējā sesija,Lescht Sessioun,Lescht Sessioun,Lescht Sessioun,Lescht Sessioun,Lescht Sessioun,already_applied,already_applied,YES,already_pass
32,card.levelCompleteDesc,Tu esi apguvis visus šīs grupas vārdus. Laiks spert nākamo soli!,Du hues all d'Wierder aus dëser Grupp geléiert. Zäit fir den nächste Schrëtt!,Du hues all d'Wierder aus dëser Grupp geléiert. Zäit fir den nächste Schrëtt!,Du hues all d'Wierder aus dëser Grupp geléiert. Zäit fir den nächste Schrëtt!,Du hues all d'Wierder aus dëser Grupp geléiert. Zäit fir den nächste Schrëtt!,Du hues all d'Wierder aus dëser Grupp geléiert. Zäit fir den nächste Schrëtt!,already_applied,already_applied,YES,already_pass
33,card.levelCompleteTitle,Izcili! {label} līmenis ir pabeigts! 🎉,Exzellent! Niveau {label} ass ofgeschloss! 🎉,Exzellent! Niveau {label} ass ofgeschloss! 🎉,Exzellent! Niveau {label} ass ofgeschloss! 🎉,Exzellent! Niveau {label} ass ofgeschloss! 🎉,Exzellent! Niveau {label} ass ofgeschloss! 🎉,already_applied,already_applied,YES,already_pass
34,card.noActiveWords,Šajā grupā nav aktīvu vārdu.,Et gëtt keng aktiv Wierder an dëser Grupp.,Et gëtt keng aktiv Wierder an dëser Grupp.,Et gëtt keng aktiv Wierder an dëser Grupp.,Et gëtt keng aktiv Wierder an dëser Grupp.,Et gëtt keng aktiv Wierder an dëser Grupp.,already_applied,already_applied,YES,already_pass
35,card.noCardsInSession,Šajā sesijā nav kartīšu.,Et gëtt keng Kaarten an dëser Sessioun.,Et gëtt keng Kaarten an dëser Sessioun.,Et gëtt keng Kaarten an dëser Sessioun.,Et gëtt keng Kaarten an dëser Sessioun.,Et gëtt keng Kaarten an dëser Sessioun.,already_applied,already_applied,YES,already_pass
36,card.problemLabel,Problemātiskie,Problemwierder,Problemwierder,Problemwierder,Problemwierder,Problemwierder,already_applied,already_applied,YES,already_pass
37,card.spelling,Pareizrakstība,Rechtschreiwung,Rechtschreiwung,Rechtschreiwung,Rechtschreiwung,Rechtschreiwung,already_applied,already_applied,YES,already_pass
38,card.spellingVerbs,Pareizrakstība · Darbības vārdi,Rechtschreiwung · Verben,Rechtschreiwung · Verben,Rechtschreiwung · Verben,Rechtschreiwung · Verben,Rechtschreiwung · Verben,already_applied,already_applied,YES,already_pass
39,card.verbsShuffleTraining,Darbības vārdi · Jaukts treniņš,Verben · Gemëschten Training,Verben · Gemëschten Training,Verben · Gemëschten Training,Verben · Gemëschten Training,Verben · Gemëschten Training,already_applied,already_applied,YES,already_pass
40,extra.settings,Iestatījumi,Astellungen,Astellungen,Astellungen,Astellungen,Astellungen,already_applied,already_applied,YES,already_pass
41,extra.wordManagement,Vārdu pārvaldība,Wierder verwalten,Wierder verwalten,Wierder verwalten,Wierder verwalten,Wierder verwalten,already_applied,already_applied,YES,already_pass
42,groups.sentences,Teikumi,Sätz,Sätz,Sätz,Sätz,Sätz,already_applied,already_applied,YES,already_pass
43,hints.chooseModeOrReturn,Izvēlies citu režīmu vai atgriezies vēlāk pārskatīšanai.,Wiel en anere Modus oder komm méi spéit fir d'Iwwerpréiwung zeréck.,Wiel en anere Modus oder komm méi spéit fir d'Iwwerpréiwung zeréck.,Wiel en anere Modus oder komm méi spéit fir d'Iwwerpréiwung zeréck.,Wiel en anere Modus oder komm méi spéit fir d'Iwwerpréiwung zeréck.,Wiel en anere Modus oder komm méi spéit fir d'Iwwerpréiwung zeréck.,already_applied,already_applied,YES,already_pass
44,hints.chooseNextStep,"Izvēlies, ko darīt tālāk.","Wiel, wat s du als Nächst maache wëlls.","Wiel, wat s du als Nächst maache wëlls.","Wiel, wat s du als Nächst maache wëlls.","Wiel, wat s du als Nächst maache wëlls.","Wiel, wat s du als Nächst maache wëlls.",already_applied,already_applied,YES,already_pass
45,hints.tapToReveal,"Klikšķini uz kartītes, lai redzētu tulkojumu.","Klick op d'Kaart, fir d'Iwwersetzung ze gesinn.","Klick op d'Kaart, fir d'Iwwersetzung ze gesinn.","Klick op d'Kaart, fir d'Iwwersetzung ze gesinn.","Klick op d'Kaart, fir d'Iwwersetzung ze gesinn.","Klick op d'Kaart, fir d'Iwwersetzung ze gesinn.",already_applied,already_applied,YES,already_pass
46,hints.trainingCard,{title} vingrinājuma kartīte,Übungskaart: {title},Übungskaart: {title},Übungskaart: {title},Übungskaart: {title},Übungskaart: {title},already_applied,already_applied,YES,already_pass
47,info.answersBody,<strong>Zinu pareizi</strong> — zini atbildi. <strong>Nezinu</strong> — palīdz atcerēties un pievieno problemātiskajiem. <strong>Nākamais vārds</strong> — izlaiž bez vērtējuma.,<strong>Ech weess et</strong> — du kenns d'Äntwert. <strong>Ech weess et net</strong> — hëlleft beim Erënneren a füügt d'Wuert bei d'Problemwierder derbäi. <strong>Nächst Wuert</strong> — iwwerspréngt ouni Bewäertung.,<strong>Ech weess et</strong> — du kenns d'Äntwert. <strong>Ech weess et net</strong> — hëlleft beim Erënneren a füügt d'Wuert bei d'Problemwierder derbäi. <strong>Nächst Wuert</strong> — iwwerspréngt ouni Bewäertung.,<strong>Ech weess et</strong> — du kenns d'Äntwert. <strong>Ech weess et net</strong> — hëlleft beim Erënneren a füügt d'Wuert bei d'Problemwierder derbäi. <strong>Nächst Wuert</strong> — iwwerspréngt ouni Bewäertung.,<strong>Ech weess et</strong> — du kenns d'Äntwert. <strong>Ech weess et net</strong> — hëlleft beim Erënneren a füügt d'Wuert bei d'Problemwierder derbäi. <strong>Nächst Wuert</strong> — iwwerspréngt ouni Bewäertung.,<strong>Ech weess et</strong> — du kenns d'Äntwert. <strong>Ech weess et net</strong> — hëlleft beim Erënneren a füügt d'Wuert bei d'Problemwierder derbäi. <strong>Nächst Wuert</strong> — iwwerspréngt ouni Bewäertung.,already_applied,already_applied,YES,already_pass
48,info.directionBody,"Nospied, lai pārslēgtu starp <strong>DE→{code}</strong> un <strong>{code}→DE</strong>.","Klick, fir tëscht <strong>DE→{code}</strong> an <strong>{code}→DE</strong> ze wiesselen.","Klick, fir tëscht <strong>DE→{code}</strong> an <strong>{code}→DE</strong> ze wiesselen.","Klick, fir tëscht <strong>DE→{code}</strong> an <strong>{code}→DE</strong> ze wiesselen.","Klick, fir tëscht <strong>DE→{code}</strong> an <strong>{code}→DE</strong> ze wiesselen.","Klick, fir tëscht <strong>DE→{code}</strong> an <strong>{code}→DE</strong> ze wiesselen.",already_applied,already_applied,YES,already_pass
49,info.extraBody,"Atver <strong>Papildu opcijas</strong>, lai skatītu nedēļas un mēneša pārskatu, Zināmos vārdus un atgrieztu paslēptos.","Maach <strong>Zousätzlech Optiounen</strong> op, fir d'Wochen- a Mountsiwwersiicht, déi bekannt Wierder an déi verstoppte Wierder ze gesinn.","Maach <strong>Zousätzlech Optiounen</strong> op, fir d'Wochen- a Mountsiwwersiicht, déi bekannt Wierder an déi verstoppte Wierder ze gesinn.","Maach <strong>Zousätzlech Optiounen</strong> op, fir d'Wochen- a Mountsiwwersiicht, déi bekannt Wierder an déi verstoppte Wierder ze gesinn.","Maach <strong>Zousätzlech Optiounen</strong> op, fir d'Wochen- a Mountsiwwersiicht, déi bekannt Wierder an déi verstoppte Wierder ze gesinn.","Maach <strong>Zousätzlech Optiounen</strong> op, fir d'Wochen- a Mountsiwwersiicht, déi bekannt Wierder an déi verstoppte Wierder ze gesinn.",already_applied,already_applied,YES,already_pass
50,info.intensityBody,"Izvēlies, cik vārdu mācīties vienā sesijā: <strong>Viegls · 10</strong>, <strong>Normāls · 20</strong> vai <strong>Intensīvs · 30</strong>.","Wiel, wéi vill Wierder s du an enger Sessioun léiere wëlls: <strong>Liicht · 10</strong>, <strong>Normal · 20</strong> oder <strong>Intensiv · 30</strong>.","Wiel, wéi vill Wierder s du an enger Sessioun léiere wëlls: <strong>Liicht · 10</strong>, <strong>Normal · 20</strong> oder <strong>Intensiv · 30</strong>.","Wiel, wéi vill Wierder s du an enger Sessioun léiere wëlls: <strong>Liicht · 10</strong>, <strong>Normal · 20</strong> oder <strong>Intensiv · 30</strong>.","Wiel, wéi vill Wierder s du an enger Sessioun léiere wëlls: <strong>Liicht · 10</strong>, <strong>Normal · 20</strong> oder <strong>Intensiv · 30</strong>.","Wiel, wéi vill Wierder s du an enger Sessioun léiere wëlls: <strong>Liicht · 10</strong>, <strong>Normal · 20</strong> oder <strong>Intensiv · 30</strong>.",already_applied,already_applied,YES,already_pass
51,info.intensityTitle,Sesijas intensitāte,Intensitéit vun der Sessioun,Intensitéit vun der Sessioun,Intensitéit vun der Sessioun,Intensitéit vun der Sessioun,Intensitéit vun der Sessioun,already_applied,already_applied,YES,already_pass
52,info.listeningBody,"Nospied skaļruņa ikonu kartītē, lai noklausītos izrunu.","Klick op d'Lautsprecher-Symbol op der Kaart, fir d'Aussprooch ze lauschteren.","Klick op d'Lautsprecher-Symbol op der Kaart, fir d'Aussprooch ze lauschteren.","Klick op d'Lautsprecher-Symbol op der Kaart, fir d'Aussprooch ze lauschteren.","Klick op d'Lautsprecher-Symbol op der Kaart, fir d'Aussprooch ze lauschteren.","Klick op d'Lautsprecher-Symbol op der Kaart, fir d'Aussprooch ze lauschteren.",already_applied,already_applied,YES,already_pass
53,info.listeningTitle,Klausīšanās,Lauschteren,Lauschteren,Lauschteren,Lauschteren,Lauschteren,already_applied,already_applied,YES,already_pass
54,info.problemBody,"Nospied <strong>Probl.</strong>, lai mācītos vārdus, ar kuriem esi kļūdījies. Parastajā plūsmā «Nezinu» pievieno vārdu šeit; šeit «Zinu pareizi» samazina kļūdu pakāpi.","Klick op <strong>Probl.</strong>, fir Wierder ze léieren, bei deenen s du Feeler gemaach hues. Am normale Modus füügt «Ech weess et net» d'Wuert hei derbäi; hei reduzéiert «Ech weess et» de Feelergrad.","Klick op <strong>Probl.</strong>, fir Wierder ze léieren, bei deenen s du Feeler gemaach hues. Am normale Modus füügt «Ech weess et net» d'Wuert hei derbäi; hei reduzéiert «Ech weess et» de Feelergrad.","Klick op <strong>Probl.</strong>, fir Wierder ze léieren, bei deenen s du Feeler gemaach hues. Am normale Modus füügt «Ech weess et net» d'Wuert hei derbäi; hei reduzéiert «Ech weess et» de Feelergrad.","Klick op <strong>Probl.</strong>, fir Wierder ze léieren, bei deenen s du Feeler gemaach hues. Am normale Modus füügt «Ech weess et net» d'Wuert hei derbäi; hei reduzéiert «Ech weess et» de Feelergrad.","Klick op <strong>Probl.</strong>, fir Wierder ze léieren, bei deenen s du Feeler gemaach hues. Am normale Modus füügt «Ech weess et net» d'Wuert hei derbäi; hei reduzéiert «Ech weess et» de Feelergrad.",already_applied,already_applied,YES,already_pass
55,info.problemTitle,Problemātiskie vārdi,Problemwierder,Problemwierder,Problemwierder,Problemwierder,Problemwierder,already_applied,already_applied,YES,already_pass
56,info.spellingBody,"Nospied <strong>Rakst.</strong>, lai pirms atbildes jāieraksta vārds ar roku.","Klick op <strong>Schreiwen</strong>, fir d'Wuert virun der Äntwert selwer anzeginn.","Klick op <strong>Schreiwen</strong>, fir d'Wuert virun der Äntwert selwer anzeginn.","Klick op <strong>Schreiwen</strong>, fir d'Wuert virun der Äntwert selwer anzeginn.","Klick op <strong>Schreiwen</strong>, fir d'Wuert virun der Äntwert selwer anzeginn.","Klick op <strong>Schreiwen</strong>, fir d'Wuert virun der Äntwert selwer anzeginn.",already_applied,already_applied,YES,already_pass
57,info.spellingTitle,Pareizrakstība,Rechtschreiwung,Rechtschreiwung,Rechtschreiwung,Rechtschreiwung,Rechtschreiwung,already_applied,already_applied,YES,already_pass
58,info.title,Kā tas strādā?,Wéi funktionéiert et?,Wéi funktionéiert et?,Wéi funktionéiert et?,Wéi funktionéiert et?,Wéi funktionéiert et?,already_applied,already_applied,YES,already_pass
59,info.unwantedBody,Nospied pārsvītroto aci kartītes stūrī — vārds pazudīs no plūsmas. Atgriezt vari sadaļā Papildu opcijas.,Klick op dat duerchgestrachent A am Eck vun der Kaart — d'Wuert verschwënnt aus dem Léierlaf. Du kanns et ënner Zousätzlech Optiounen zerécksetzen.,Klick op dat duerchgestrachent A am Eck vun der Kaart — d'Wuert verschwënnt aus dem Léierlaf. Du kanns et ënner Zousätzlech Optiounen zerécksetzen.,Klick op dat duerchgestrachent A am Eck vun der Kaart — d'Wuert verschwënnt aus dem Léierlaf. Du kanns et ënner Zousätzlech Optiounen zerécksetzen.,Klick op dat duerchgestrachent A am Eck vun der Kaart — d'Wuert verschwënnt aus dem Léierlaf. Du kanns et ënner Zousätzlech Optiounen zerécksetzen.,Klick op dat duerchgestrachent A am Eck vun der Kaart — d'Wuert verschwënnt aus dem Léierlaf. Du kanns et ënner Zousätzlech Optiounen zerécksetzen.,already_applied,already_applied,YES,already_pass
60,info.unwantedTitle,Nevajadzīgie vārdi,Net gebraucht Wierder,Net gebraucht Wierder,Net gebraucht Wierder,Net gebraucht Wierder,Net gebraucht Wierder,already_applied,already_applied,YES,already_pass
61,kurss.articlesDesc,"Der, die, das un lietojuma pamati.","Grondlage vum Gebrauch vun der, die an das.","Grondlage vum Gebrauch vun der, die an das.","Grondlage vum Gebrauch vun der, die an das.","Grondlage vum Gebrauch vun der, die an das.","Grondlage vum Gebrauch vun der, die an das.",already_applied,already_applied,YES,already_pass
62,kurss.articlesSubtitle,"Der, die, das un lietojuma pamati.","Grondlage vum Gebrauch vun der, die an das.","Grondlage vum Gebrauch vun der, die an das.","Grondlage vum Gebrauch vun der, die an das.","Grondlage vum Gebrauch vun der, die an das.","Grondlage vum Gebrauch vun der, die an das.",already_applied,already_applied,YES,already_pass
63,kurss.backToMain,Atgriezties uz galveno ekrānu,Zeréck op den Haaptbildschierm,Zeréck op den Haaptbildschierm,Zeréck op den Haaptbildschierm,Zeréck op den Haaptbildschierm,Zeréck op den Haaptbildschierm,already_applied,already_applied,YES,already_pass
64,kurss.closeCourse,Aizvērt kursu,Cours zoumaachen,Cours zoumaachen,Cours zoumaachen,Cours zoumaachen,Cours zoumaachen,already_applied,already_applied,YES,already_pass
65,kurss.consonantsDesc,Svarīgākās līdzskaņu skaņas iesācējam.,Déi wichtegst Konsonantelaute fir Ufänger.,Déi wichtegst Konsonantelaute fir Ufänger.,Déi wichtegst Konsonantelaute fir Ufänger.,Déi wichtegst Konsonantelaute fir Ufänger.,Déi wichtegst Konsonantelaute fir Ufänger.,already_applied,already_applied,YES,already_pass
66,kurss.consonantsSubtitle,Līdzskaņi un burtu savienojumi,Konsonanten a Buschtawekombinatiounen,Konsonanten a Buschtawekombinatiounen,Konsonanten a Buschtawekombinatiounen,Konsonanten a Buschtawekombinatiounen,Konsonanten a Buschtawekombinatiounen,already_applied,already_applied,YES,already_pass
67,kurss.consonantsTitle,Līdzskaņi un burtu savienojumi,Konsonanten a Buschtawekombinatiounen,Konsonanten a Buschtawekombinatiounen,Konsonanten a Buschtawekombinatiounen,Konsonanten a Buschtawekombinatiounen,Konsonanten a Buschtawekombinatiounen,already_applied,already_applied,YES,already_pass
68,kurss.cta.tapContinue,Pieskaries turpināt,Klick op Weider,Klick op Weider,Klick op Weider,Klick op Weider,Klick op Weider,already_applied,already_applied,YES,already_pass
69,kurss.cta.tapNextCard,Pieskaries nākamajai kartītei,Klick op déi nächst Kaart,Klick op déi nächst Kaart,Klick op déi nächst Kaart,Klick op déi nächst Kaart,Klick op déi nächst Kaart,already_applied,already_applied,YES,already_pass
70,kurss.cta.tapToRevealAnswer,"Pieskaries, lai redzētu atbildi","Klick, fir d'Äntwert ze gesinn","Klick, fir d'Äntwert ze gesinn","Klick, fir d'Äntwert ze gesinn","Klick, fir d'Äntwert ze gesinn","Klick, fir d'Äntwert ze gesinn",already_applied,already_applied,YES,already_pass
71,kurss.cta.transformFirstPlural,Pārveido teikumu 1. personā daudzskaitlī.,Form de Saz an déi 1. Persoun Méizuel ëm.,Form de Saz an déi 1. Persoun Méizuel ëm.,Form de Saz an déi 1. Persoun Méizuel ëm.,Form de Saz an déi 1. Persoun Méizuel ëm.,Form de Saz an déi 1. Persoun Méizuel ëm.,already_applied,already_applied,YES,already_pass
72,kurss.cta.transformSentence,Pārveido teikumu.,Form de Saz ëm.,Form de Saz ëm.,Form de Saz ëm.,Form de Saz ëm.,Form de Saz ëm.,already_applied,already_applied,YES,already_pass
73,kurss.cta.transformThirdSingular,Pārveido teikumu 3. personā vienskaitlī.,Form de Saz an déi 3. Persoun Eenzuel ëm.,Form de Saz an déi 3. Persoun Eenzuel ëm.,Form de Saz an déi 3. Persoun Eenzuel ëm.,Form de Saz an déi 3. Persoun Eenzuel ëm.,Form de Saz an déi 3. Persoun Eenzuel ëm.,already_applied,already_applied,YES,already_pass
74,kurss.exerciseMeta.answerPlural,Tagad atbildi daudzskaitlī.,Äntwert elo an der Méizuel.,Äntwert elo an der Méizuel.,Äntwert elo an der Méizuel.,Äntwert elo an der Méizuel.,Äntwert elo an der Méizuel.,already_applied,already_applied,YES,already_pass
75,kurss.exerciseMeta.chooseCasePlural,Liec pareizo locījumu un darini daudzskaitli!,Setz de richtege Kasus a bild d'Méizuel!,Setz de richtege Kasus a bild d'Méizuel!,Setz de richtege Kasus a bild d'Méizuel!,Setz de richtege Kasus a bild d'Méizuel!,Setz de richtege Kasus a bild d'Méizuel!,already_applied,already_applied,YES,already_pass
76,kurss.exerciseMeta.fillCase,Übung I — lieto pareizo locījumu,Übung I — benotz de richtege Kasus,Übung I — benotz de richtege Kasus,Übung I — benotz de richtege Kasus,Übung I — benotz de richtege Kasus,Übung I — benotz de richtege Kasus,already_applied,already_applied,YES,already_pass
77,kurss.exerciseMeta.formIhr,Forma 2/3: Jūs (daudzskaitlis),Form 2/3: dir (Méizuel),Form 2/3: dir (Méizuel),Form 2/3: dir (Méizuel),Form 2/3: dir (Méizuel),Form 2/3: dir (Méizuel),already_applied,already_applied,YES,already_pass
78,kurss.exerciseMeta.formSie,Forma 3/3: Sie (pieklājīgā forma),Form 3/3: Sie (Héiflechkeetsform),Form 3/3: Sie (Héiflechkeetsform),Form 3/3: Sie (Héiflechkeetsform),Form 3/3: Sie (Héiflechkeetsform),Form 3/3: Sie (Héiflechkeetsform),already_applied,already_applied,YES,already_pass
79,kurss.exerciseProgress,Lekcija {lesson} · Vingrinājums,Lektioun {lesson} · Übung,Lektioun {lesson} · Übung,Lektioun {lesson} · Übung,Lektioun {lesson} · Übung,Lektioun {lesson} · Übung,already_applied,already_applied,YES,already_pass
80,kurss.hints.exerciseCardAria,{title} vingrinājuma kartīte,Übungskaart: {title},Übungskaart: {title},Übungskaart: {title},Übungskaart: {title},Übungskaart: {title},already_applied,already_applied,YES,already_pass
81,kurss.hints.tapNextStep,"Pieskaries kartītei, lai pārietu uz nākamo soli.","Klick op d'Kaart, fir bei den nächste Schrëtt ze goen.","Klick op d'Kaart, fir bei den nächste Schrëtt ze goen.","Klick op d'Kaart, fir bei den nächste Schrëtt ze goen.","Klick op d'Kaart, fir bei den nächste Schrëtt ze goen.","Klick op d'Kaart, fir bei den nächste Schrëtt ze goen.",already_applied,already_applied,YES,already_pass
82,kurss.hints.tapToContinue,"Pieskaries kartītei, lai turpinātu.","Klick op d'Kaart, fir weiderzefueren.","Klick op d'Kaart, fir weiderzefueren.","Klick op d'Kaart, fir weiderzefueren.","Klick op d'Kaart, fir weiderzefueren.","Klick op d'Kaart, fir weiderzefueren.",already_applied,already_applied,YES,already_pass
83,kurss.hints.tapToRevealAnswer,"Pieskaries kartītei, lai redzētu atbildi.","Klick op d'Kaart, fir d'Äntwert ze gesinn.","Klick op d'Kaart, fir d'Äntwert ze gesinn.","Klick op d'Kaart, fir d'Äntwert ze gesinn.","Klick op d'Kaart, fir d'Äntwert ze gesinn.","Klick op d'Kaart, fir d'Äntwert ze gesinn.",already_applied,already_applied,YES,already_pass
84,kurss.hints.tapToRevealGerman,"Pieskaries kartītei, lai redzētu vācu tulkojumu.","Klick op d'Kaart, fir déi däitsch Iwwersetzung ze gesinn.","Klick op d'Kaart, fir déi däitsch Iwwersetzung ze gesinn.","Klick op d'Kaart, fir déi däitsch Iwwersetzung ze gesinn.","Klick op d'Kaart, fir déi däitsch Iwwersetzung ze gesinn.","Klick op d'Kaart, fir déi däitsch Iwwersetzung ze gesinn.",already_applied,already_applied,YES,already_pass
85,kurss.lessonProgress,Lekcija {lesson} · Pārtulko: {current} / {total},Lektioun {lesson} · Iwwersat: {current} / {total},Lektioun {lesson} · Iwwersat: {current} / {total},Lektioun {lesson} · Iwwersat: {current} / {total},Lektioun {lesson} · Iwwersat: {current} / {total},Lektioun {lesson} · Iwwersat: {current} / {total},already_applied,already_applied,YES,already_pass
86,kurss.lessonsDesc,Mācību lekcijas secīgā kārtībā no 1 līdz 21.,Léierlektionen an der Reiefolleg vun 1 bis 21.,Léierlektionen an der Reiefolleg vun 1 bis 21.,Léierlektionen an der Reiefolleg vun 1 bis 21.,Léierlektionen an der Reiefolleg vun 1 bis 21.,Léierlektionen an der Reiefolleg vun 1 bis 21.,already_applied,already_applied,YES,already_pass
87,kurss.lessonsSubtitle,Mācību lekcijas secīgā kārtībā no 1 līdz 21.,Léierlektionen an der Reiefolleg vun 1 bis 21.,Léierlektionen an der Reiefolleg vun 1 bis 21.,Léierlektionen an der Reiefolleg vun 1 bis 21.,Léierlektionen an der Reiefolleg vun 1 bis 21.,Léierlektionen an der Reiefolleg vun 1 bis 21.,already_applied,already_applied,YES,already_pass
