sample_id,sample_type,review_track,language,audit_id,finding_stable_id,card_object_id,field_path,flat_key,lv_source_value,de_reference_value,crowdin_target_value,luna_category,luna_severity,luna_reason,canonical_review_bucket,audit_status,audit_rationale,linked_to_staging
FLAG-da-semantic-DISC-G2-A1-DA-L0019,FLAGGED,TARGET_LANGUAGE,da,DISC-G2-A1-DA-L0019,g2/a1/da|gern|idx:232|lv|SEMANTIC_ERROR|gpt-5.6-luna,gern|idx:232,lv,a1.card.gern.native,labprāt,gern,Med vilje,,HIGH,lv,SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-da-semantic-DISC-G2-A1-DA-L0003,FLAGGED,TARGET_LANGUAGE,da,DISC-G2-A1-DA-L0003,g2/a1/da|Liter|idx:382|lv; study.translation|MISTRANSLATION|gpt-5.6-luna,Liter|idx:382,lv; study.translation,a1.card.a1-liter.native,litrs,Liter,Liter,,MEDIUM,lv; study.translation,SEMANTIC_OR_MEANING_ERROR,FALSE_POSITIVE,Target text identical to DE or LV reference; semantic mismatch not evidenced from text alone.,true
FLAG-da-multi-G2A1P3-DA-0084,FLAGGED,TARGET_LANGUAGE,da,G2A1P3-DA-0084,g2/a1/da|a1-liegen|a1.card.a1-liegen.study.translation|MULTI_TRANSLATION|deterministic/multi-translation,a1-liegen,a1.card.a1-liegen.study.translation,a1.card.a1-liegen.study.translation,atrasties • gulēt,atrasties • gulēt,At være • At sove,,MEDIUM,Multiple translation candidates separated by •,MULTI_TRANSLATION_REVIEW_REQUIRED,FALSE_POSITIVE,• delimiter appears inside Study sub-structure where multiple elements may be intentional.,true
FLAG-da-missing-G2A1P3-DA-0103,FLAGGED,TARGET_LANGUAGE,da,G2A1P3-DA-0103,g2/a1/da|a1-probieren|a1.card.a1-probieren.study.translation|MULTI_TRANSLATION|deterministic/multi-translation,a1-probieren,a1.card.a1-probieren.study.translation,a1.card.a1-probieren.study.translation,izmēģināt • nogaršot,izmēģināt • nogaršot,At prøve • At smage,,MEDIUM,Multiple translation candidates separated by •,MULTI_TRANSLATION_REVIEW_REQUIRED,FALSE_POSITIVE,• delimiter appears inside Study sub-structure where multiple elements may be intentional.,true
FLAG-da-grammar_ortho-DISC-G2-A1-DA-L0003,FLAGGED,TARGET_LANGUAGE,da,DISC-G2-A1-DA-L0003,g2/a1/da|Laden|idx:349|study.explanation; study.tip|TARGET_LANGUAGE_GRAMMAR|gpt-5.6-luna,Laden|idx:349,study.explanation; study.tip,a1.card.a1-laden-study.study.explanation[0],Galvenā doma: der Laden ar lielo burtu un artikulu der ir lietvārds — mazs veikals.,Galvenā doma: der Laden ar lielo burtu un artikulu der ir lietvārds — mazs veikals.,"Hovedidé: der Laden er stort, og artiklen der er et substantiv - en lille butik.",,MEDIUM,study.explanation; study.tip,GRAMMAR_MORPHOLOGY_OR_FORM,LIKELY_REAL_ERROR,Grammar/orthography bucket (GRAMMAR_MORPHOLOGY_OR_FORM) with non-empty divergent target; likely needs human review.,true
FLAG-da-other-DISC-G2-A1-DA-L0003,FLAGGED,TARGET_LANGUAGE,da,DISC-G2-A1-DA-L0003,g2/a1/da|geben|idx:223|study.comparison[1].meaning|STYLE_ONLY|gpt-5.6-luna,geben|idx:223,study.comparison[1].meaning,a1.card.a1-geben.study.comparison[1].meaning,ņemt / paņemt,ņemt / paņemt,At tage / at tage,,LOW,study.comparison[1].meaning,STYLE_FLUENCY_OR_REGISTER,LIKELY_REAL_ERROR,Other bucket (STYLE_FLUENCY_OR_REGISTER) flagged with resolvable staging context.,true
FLAG-en-wrong_or_mixed-DISC-G2-A1-EN-L0016,FLAGGED,TARGET_LANGUAGE,en,DISC-G2-A1-EN-L0016,g2/a1/en|Donnerstag|idx:141|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna,Donnerstag|idx:141,lv,a1.card.donnerstag.native,ceturtdiena,Donnerstag,Thursday,,HIGH,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-en-wrong_or_mixed-DISC-G2-A1-EN-L0004,FLAGGED,TARGET_LANGUAGE,en,DISC-G2-A1-EN-L0004,g2/a1/en|morgen|idx:417|lv; study.translation; study.examples[].lv; study.sectionAccents|TARGET_LANGUAGE_ERROR|gpt-5.6-luna,morgen|idx:417,lv; study.translation; study.examples[].lv; study.sectionAccents,a1.card.a1-morgen.native,rīt,morgen,Tomorrow,,HIGH,lv; study.translation; study.examples[].lv; study.sectionAccents,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-en-semantic-DISC-G2-A1-EN-L0003,FLAGGED,TARGET_LANGUAGE,en,DISC-G2-A1-EN-L0003,g2/a1/en|finden|idx:187|study.examples|TRANSLATION_ERROR|gpt-5.6-luna,finden|idx:187,study.examples,a1.card.a1-finden.study.examples[0].native,Es atrodu savu atslēgu.,Es atrodu savu atslēgu.,I can't find my key,,CRITICAL,study.examples,SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-en-semantic-DISC-G2-A1-EN-L0002,FLAGGED,TARGET_LANGUAGE,en,DISC-G2-A1-EN-L0002,"g2/a1/en|Wetter|idx:658|lv, study.examples, study.tip|MISTRANSLATION|gpt-5.6-luna",Wetter|idx:658,"lv, study.examples, study.tip",a1.card.a1-wetter.native,laiks (laikapstākļi),Wetter,Time (weather),,HIGH,"lv, study.examples, study.tip",SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-en-multi-G2A1P3-EN-0098,FLAGGED,TARGET_LANGUAGE,en,G2A1P3-EN-0098,g2/a1/en|a1-nach|a1.card.a1-nach.study.translation|MULTI_TRANSLATION|deterministic/multi-translation,a1-nach,a1.card.a1-nach.study.translation,a1.card.a1-nach.study.translation,uz • pēc,uz • pēc,To • After,,MEDIUM,Multiple translation candidates separated by •,MULTI_TRANSLATION_REVIEW_REQUIRED,FALSE_POSITIVE,• delimiter appears inside Study sub-structure where multiple elements may be intentional.,true
FLAG-en-missing-DISC-G2-A1-EN-L0002,FLAGGED,TARGET_LANGUAGE,en,DISC-G2-A1-EN-L0002,g2/a1/en|sich waschen|idx:646|lv|OMISSION|gpt-5.6-luna,sich waschen|idx:646,lv,a1.card.sich-waschen.native,mazgāties,sich waschen,To wash,,MEDIUM,lv,MISSING_OR_UNTRANSLATED,FALSE_POSITIVE,Finding claims missing/untranslated but staging contains a non-empty target value.,true
FLAG-en-grammar_ortho-DISC-G2-A1-EN-L0001,FLAGGED,TARGET_LANGUAGE,en,DISC-G2-A1-EN-L0001,g2/a1/en|bei|idx:78|study.comparison[2].meaning|TARGET_LANGUAGE_GRAMMAR|gpt-5.6-luna,bei|idx:78,study.comparison[2].meaning,a1.card.a1-bei.study.comparison[2].meaning,pie kāda dodas (virziens),pie kāda dodas (virziens),Who is going to (direction),,MEDIUM,study.comparison[2].meaning,GRAMMAR_MORPHOLOGY_OR_FORM,LIKELY_REAL_ERROR,Grammar/orthography bucket (GRAMMAR_MORPHOLOGY_OR_FORM) with non-empty divergent target; likely needs human review.,true
FLAG-en-other-DISC-G2-A1-EN-L0005,FLAGGED,TARGET_LANGUAGE,en,DISC-G2-A1-EN-L0005,g2/a1/en|essen|idx:690|study.explanation|DE_SOURCE_ISSUE|gpt-5.6-luna,essen|idx:690,study.explanation,a1.card.a1-essen.study.explanation[0],Galvenā doma: Darbības vārds — ēst pārtiku.,Galvenā doma: Darbības vārds — ēst pārtiku.,Main idea: Verb - to eat food.,,HIGH,study.explanation,OTHER_REVIEW_REQUIRED,LIKELY_REAL_ERROR,Other bucket (OTHER_REVIEW_REQUIRED) flagged with resolvable staging context.,true
FLAG-es-wrong_or_mixed-DISC-G2-A1-ES-L0014,FLAGGED,TARGET_LANGUAGE,es,DISC-G2-A1-ES-L0014,g2/a1/es|Baum|idx:74|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna,Baum|idx:74,lv,a1.card.baum.native,koks,Baum,un árbol,,HIGH,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-es-wrong_or_mixed-DISC-G2-A1-ES-L0013,FLAGGED,TARGET_LANGUAGE,es,DISC-G2-A1-ES-L0013,g2/a1/es|Plan|idx:477|lv|LANGUAGE_MISMATCH|gpt-5.6-luna,Plan|idx:477,lv,a1.card.plan.native,plāns,Plan,plan,,HIGH,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,FALSE_POSITIVE,Target value equals LV or DE reference (loanword/international form); likely not a wrong-language defect.,true
FLAG-es-semantic-DISC-G2-A1-ES-L0017,FLAGGED,TARGET_LANGUAGE,es,DISC-G2-A1-ES-L0017,g2/a1/es|dort|idx:142|lv|TRANSLATION_ERROR|gpt-5.6-luna,dort|idx:142,lv,a1.card.dort.native,tur,dort,allá,,HIGH,lv,SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-es-semantic-DISC-G2-A1-ES-L0004,FLAGGED,TARGET_LANGUAGE,es,DISC-G2-A1-ES-L0004,g2/a1/es|kennen|idx:310|study.tip|SEMANTIC_ERROR|gpt-5.6-luna,kennen|idx:310,study.tip,a1.card.a1-kennen-study.study.tip[0],kennen = pazīt,kennen = pazīt,Kennen = saber,,HIGH,study.tip,SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-es-multi-G2A1P3-ES-0097,FLAGGED,TARGET_LANGUAGE,es,G2A1P3-ES-0097,g2/a1/es|a1-muessen|a1.card.a1-muessen.study.translation|MULTI_TRANSLATION|deterministic/multi-translation,a1-muessen,a1.card.a1-muessen.study.translation,a1.card.a1-muessen.study.translation,vajadzēt,vajadzēt,tener que • deber,,MEDIUM,Multiple translation candidates separated by •,MULTI_TRANSLATION_REVIEW_REQUIRED,FALSE_POSITIVE,• delimiter appears inside Study sub-structure where multiple elements may be intentional.,true
FLAG-es-missing-G2A1P3-ES-0049,FLAGGED,TARGET_LANGUAGE,es,G2A1P3-ES-0049,g2/a1/es|a1-ganz-study|a1.card.a1-ganz-study.study.comparison[0].meaning|MULTI_TRANSLATION|deterministic/multi-translation,a1-ganz-study,a1.card.a1-ganz-study.study.comparison[0].meaning,a1.card.a1-ganz-study.study.comparison[0].meaning,vesels • viss kopumā • pilnīgi,vesels • viss kopumā • pilnīgi,entero • todo • completamente • bastante,,MEDIUM,Multiple translation candidates separated by •,MULTI_TRANSLATION_REVIEW_REQUIRED,FALSE_POSITIVE,• delimiter appears inside Study sub-structure where multiple elements may be intentional.,true
FLAG-es-grammar_ortho-DISC-G2-A1-ES-L0002,FLAGGED,TARGET_LANGUAGE,es,DISC-G2-A1-ES-L0002,g2/a1/es|Seite|idx:544|study.examples[0].lv|GRAMMAR|gpt-5.6-luna,Seite|idx:544,study.examples[0].lv,a1.card.a1-seite.study.examples[0].native,atveriet divdesmito lappusi.,atveriet divdesmito lappusi.,Abra la página veinte.,,LOW,study.examples[0].lv,GRAMMAR_MORPHOLOGY_OR_FORM,LIKELY_REAL_ERROR,Grammar/orthography bucket (GRAMMAR_MORPHOLOGY_OR_FORM) with non-empty divergent target; likely needs human review.,true
FLAG-es-other-DISC-G2-A1-ES-L0002,FLAGGED,TARGET_LANGUAGE,es,DISC-G2-A1-ES-L0002,g2/a1/es|Geschichte|idx:233|lv|STYLE_ONLY|gpt-5.6-luna,Geschichte|idx:233,lv,a1.card.a1-geschichte-study.native,stāsts,Geschichte,historia • historia,,LOW,lv,STYLE_FLUENCY_OR_REGISTER,LIKELY_REAL_ERROR,Other bucket (STYLE_FLUENCY_OR_REGISTER) flagged with resolvable staging context.,true
FLAG-et-wrong_or_mixed-DISC-G2-A1-ET-L0004,FLAGGED,TARGET_LANGUAGE,et,DISC-G2-A1-ET-L0004,"g2/a1/et|Ferien|idx:694|lv, study.translation, study.explanation, study.examples[].lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna",Ferien|idx:694,"lv, study.translation, study.explanation, study.examples[].lv",a1.card.a1-ferien.native,brīvdienas (skola),Ferien,vaheaeg (kool),,HIGH,"lv, study.translation, study.explanation, study.examples[].lv",WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-et-wrong_or_mixed-DISC-G2-A1-ET-L0015,FLAGGED,TARGET_LANGUAGE,et,DISC-G2-A1-ET-L0015,g2/a1/et|gelb|idx:228|lv|TARGET_LANGUAGE_ERROR|gpt-5.6-luna,gelb|idx:228,lv,a1.card.gelb.native,dzeltens,gelb,kollane,,HIGH,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
