sequence,language,key,lvSource,current,ownerStatus,newValue,reason
"50","lb","info.intensityBody","Izvēlies, cik vārdu mācīties vienā sesijā: <strong>Viegls · 10</strong>, <strong>Normāls · 20</strong> vai <strong>Intensīvs · 30</strong>.","Izvēlies, cik vārdu mācīties vienā sesijā: <strong>Viegls · 10</strong>, <strong>Normāls · 20</strong> vai <strong>Intensīvs · 30</strong>.","LABOT","Wiel, wéi vill Wierder s du an enger Sessioun léiere wëlls: <strong>Liicht · 10</strong>, <strong>Normal · 20</strong> oder <strong>Intensiv · 30</strong>.","REAL_UNTRANSLATED"
"51","lb","info.intensityTitle","Sesijas intensitāte","Sesijas intensitāte","LABOT","Intensitéit vun der Sessioun","REAL_UNTRANSLATED"
"52","lb","info.listeningBody","Nospied skaļruņa ikonu kartītē, lai noklausītos izrunu.","Nospied skaļruņa ikonu kartītē, lai noklausītos izrunu.","LABOT","Klick op d'Lautsprecher-Symbol op der Kaart, fir d'Aussprooch ze lauschteren.","REAL_UNTRANSLATED"
"53","lb","info.listeningTitle","Klausīšanās","Klausīšanās","LABOT","Lauschteren","REAL_UNTRANSLATED"
"54","lb","info.problemBody","Nospied <strong>Probl.</strong>, lai mācītos vārdus, ar kuriem esi kļūdījies. Parastajā plūsmā «Nezinu» pievieno vārdu šeit; šeit «Zinu pareizi» samazina kļūdu pakāpi.","Nospied <strong>Probl.</strong>, lai mācītos vārdus, ar kuriem esi kļūdījies. Parastajā plūsmā «Nezinu» pievieno vārdu šeit; šeit «Zinu pareizi» samazina kļūdu pakāpi.","LABOT","Klick op <strong>Probl.</strong>, fir Wierder ze léieren, bei deenen s du Feeler gemaach hues. Am normale Modus füügt «Ech weess et net» d'Wuert hei derbäi; hei reduzéiert «Ech weess et» de Feelergrad.","REAL_UNTRANSLATED"
"55","lb","info.problemTitle","Problemātiskie vārdi","Problemātiskie vārdi","LABOT","Problemwierder","REAL_UNTRANSLATED"
"56","lb","info.spellingBody","Nospied <strong>Rakst.</strong>, lai pirms atbildes jāieraksta vārds ar roku.","Nospied <strong>Rakst.</strong>, lai pirms atbildes jāieraksta vārds ar roku.","LABOT","Klick op <strong>Schreiwen</strong>, fir d'Wuert virun der Äntwert selwer anzeginn.","REAL_UNTRANSLATED"
"57","lb","info.spellingTitle","Pareizrakstība","Pareizrakstība","LABOT","Rechtschreiwung","REAL_UNTRANSLATED"
"58","lb","info.title","Kā tas strādā?","Kā tas strādā?","LABOT","Wéi funktionéiert et?","REAL_UNTRANSLATED"
"59","lb","info.unwantedBody","Nospied pārsvītroto aci kartītes stūrī — vārds pazudīs no plūsmas. Atgriezt vari sadaļā Papildu opcijas.","Nospied pārsvītroto aci kartītes stūrī — vārds pazudīs no plūsmas. Atgriezt vari sadaļā Papildu opcijas.","LABOT","Klick op dat duerchgestrachent A am Eck vun der Kaart — d'Wuert verschwënnt aus dem Léierlaf. Du kanns et ënner Zousätzlech Optiounen zerécksetzen.","REAL_UNTRANSLATED"
"60","lb","info.unwantedTitle","Nevajadzīgie vārdi","Nevajadzīgie vārdi","LABOT","Net gebraucht Wierder","REAL_UNTRANSLATED"
"61","lb","kurss.articlesDesc","Der, die, das un lietojuma pamati.","Der, die, das un lietojuma pamati.","LABOT","Grondlage vum Gebrauch vun der, die an das.","REAL_UNTRANSLATED"
"62","lb","kurss.articlesSubtitle","Der, die, das un lietojuma pamati.","Der, die, das un lietojuma pamati.","LABOT","Grondlage vum Gebrauch vun der, die an das.","REAL_UNTRANSLATED"
"63","lb","kurss.backToMain","Atgriezties uz galveno ekrānu","Atgriezties uz galveno ekrānu","LABOT","Zeréck op den Haaptbildschierm","REAL_UNTRANSLATED"
"64","lb","kurss.closeCourse","Aizvērt kursu","Aizvērt kursu","LABOT","Cours zoumaachen","REAL_UNTRANSLATED"
"65","lb","kurss.consonantsDesc","Svarīgākās līdzskaņu skaņas iesācējam.","Svarīgākās līdzskaņu skaņas iesācējam.","LABOT","Déi wichtegst Konsonantelaute fir Ufänger.","REAL_UNTRANSLATED"
"66","lb","kurss.consonantsSubtitle","Līdzskaņi un burtu savienojumi","Līdzskaņi un burtu savienojumi","LABOT","Konsonanten a Buschtawekombinatiounen","REAL_UNTRANSLATED"
"67","lb","kurss.consonantsTitle","Līdzskaņi un burtu savienojumi","Līdzskaņi un burtu savienojumi","LABOT","Konsonanten a Buschtawekombinatiounen","REAL_UNTRANSLATED"
"68","lb","kurss.cta.tapContinue","Pieskaries turpināt","Pieskaries turpināt","LABOT","Klick op Weider","REAL_UNTRANSLATED"
"69","lb","kurss.cta.tapNextCard","Pieskaries nākamajai kartītei","Pieskaries nākamajai kartītei","LABOT","Klick op déi nächst Kaart","REAL_UNTRANSLATED"
"70","lb","kurss.cta.tapToRevealAnswer","Pieskaries, lai redzētu atbildi","Pieskaries, lai redzētu atbildi","LABOT","Klick, fir d'Äntwert ze gesinn","REAL_UNTRANSLATED"
"71","lb","kurss.cta.transformFirstPlural","Pārveido teikumu 1. personā daudzskaitlī.","Pārveido teikumu 1. personā daudzskaitlī.","LABOT","Form de Saz an déi 1. Persoun Méizuel ëm.","REAL_UNTRANSLATED"
"72","lb","kurss.cta.transformSentence","Pārveido teikumu.","Pārveido teikumu.","LABOT","Form de Saz ëm.","REAL_UNTRANSLATED"
"73","lb","kurss.cta.transformThirdSingular","Pārveido teikumu 3. personā vienskaitlī.","Pārveido teikumu 3. personā vienskaitlī.","LABOT","Form de Saz an déi 3. Persoun Eenzuel ëm.","REAL_UNTRANSLATED"
"74","lb","kurss.exerciseMeta.answerPlural","Tagad atbildi daudzskaitlī.","Tagad atbildi daudzskaitlī.","LABOT","Äntwert elo an der Méizuel.","REAL_UNTRANSLATED"
"75","lb","kurss.exerciseMeta.chooseCasePlural","Liec pareizo locījumu un darini daudzskaitli!","Liec pareizo locījumu un darini daudzskaitli!","LABOT","Setz de richtege Kasus a bild d'Méizuel!","REAL_UNTRANSLATED"
"76","lb","kurss.exerciseMeta.fillCase","Übung I — lieto pareizo locījumu","Übung I — lieto pareizo locījumu","LABOT","Übung I — benotz de richtege Kasus","REAL_UNTRANSLATED"
"77","lb","kurss.exerciseMeta.formIhr","Forma 2/3: Jūs (daudzskaitlis)","Forma 2/3: Jūs (daudzskaitlis)","LABOT","Form 2/3: dir (Méizuel)","REAL_UNTRANSLATED"
"78","lb","kurss.exerciseMeta.formSie","Forma 3/3: Sie (pieklājīgā forma)","Forma 3/3: Sie (pieklājīgā forma)","LABOT","Form 3/3: Sie (Héiflechkeetsform)","REAL_UNTRANSLATED"
"79","lb","kurss.exerciseProgress","Lekcija {lesson} · Vingrinājums","Lekcija {lesson} · Vingrinājums","LABOT","Lektioun {lesson} · Übung","REAL_UNTRANSLATED"
"80","lb","kurss.hints.exerciseCardAria","{title} vingrinājuma kartīte","{title} vingrinājuma kartīte","LABOT","Übungskaart: {title}","REAL_UNTRANSLATED"
"81","lb","kurss.hints.tapNextStep","Pieskaries kartītei, lai pārietu uz nākamo soli.","Pieskaries kartītei, lai pārietu uz nākamo soli.","LABOT","Klick op d'Kaart, fir bei den nächste Schrëtt ze goen.","REAL_UNTRANSLATED"
"82","lb","kurss.hints.tapToContinue","Pieskaries kartītei, lai turpinātu.","Pieskaries kartītei, lai turpinātu.","LABOT","Klick op d'Kaart, fir weiderzefueren.","REAL_UNTRANSLATED"
"83","lb","kurss.hints.tapToRevealAnswer","Pieskaries kartītei, lai redzētu atbildi.","Pieskaries kartītei, lai redzētu atbildi.","LABOT","Klick op d'Kaart, fir d'Äntwert ze gesinn.","REAL_UNTRANSLATED"
"84","lb","kurss.hints.tapToRevealGerman","Pieskaries kartītei, lai redzētu vācu tulkojumu.","Pieskaries kartītei, lai redzētu vācu tulkojumu.","LABOT","Klick op d'Kaart, fir déi däitsch Iwwersetzung ze gesinn.","REAL_UNTRANSLATED"
"85","lb","kurss.lessonProgress","Lekcija {lesson} · Pārtulko: {current} / {total}","Lekcija {lesson} · Pārtulko: {current} / {total}","LABOT","Lektioun {lesson} · Iwwersat: {current} / {total}","REAL_UNTRANSLATED"
"86","lb","kurss.lessonsDesc","Mācību lekcijas secīgā kārtībā no 1 līdz 21.","Mācību lekcijas secīgā kārtībā no 1 līdz 21.","LABOT","Léierlektionen an der Reiefolleg vun 1 bis 21.","REAL_UNTRANSLATED"
"87","lb","kurss.lessonsSubtitle","Mācību lekcijas secīgā kārtībā no 1 līdz 21.","Mācību lekcijas secīgā kārtībā no 1 līdz 21.","LABOT","Léierlektionen an der Reiefolleg vun 1 bis 21.","REAL_UNTRANSLATED"
"88","lb","kurss.pronouns","Vietniekvārdi","Vietniekvārdi","LABOT","Pronomen","REAL_UNTRANSLATED"
"89","lb","kurss.pronounsDesc","Nominativ, Akkusativ un Dativ formas.","Nominativ, Akkusativ un Dativ formas.","LABOT","Nominativ-, Akkusativ- an Dativformen.","REAL_UNTRANSLATED"
"90","lb","kurss.pronounsSubtitle","Nominativ, Akkusativ un Dativ — vietniekvārdu formas.","Nominativ, Akkusativ un Dativ — vietniekvārdu formas.","LABOT","Nominativ, Akkusativ an Dativ — Pronomeformen.","REAL_UNTRANSLATED"
"91","lb","kurss.pronunciationDesc","Vācu valodas skaņas un izrunas pamati.","Vācu valodas skaņas un izrunas pamati.","LABOT","Däitsch Lauter an d'Grondlage vun der Aussprooch.","REAL_UNTRANSLATED"
"92","lb","kurss.pronunciationSubtitle","Vācu valodas skaņas un izrunas pamati","Vācu valodas skaņas un izrunas pamati","LABOT","Däitsch Lauter an d'Grondlage vun der Aussprooch","REAL_UNTRANSLATED"
"93","lb","kurss.sections.exercise","Vingrinājums","Vingrinājums","LABOT","Übung","REAL_UNTRANSLATED"
"94","lb","kurss.sections.exerciseCombined","Übung / Vingrinājums","Übung / Vingrinājums","LABOT","Übung / Übung","REAL_UNTRANSLATED"
"95","lb","kurss.sections.translate","Pārtulko","Pārtulko","LABOT","Iwwersetzen","REAL_UNTRANSLATED"
"96","lb","kurss.sentenceStructure","Teikumu uzbūve","Teikumu uzbūve","LABOT","Sazstruktur","REAL_UNTRANSLATED"
"97","lb","kurss.sentenceStructureDesc","Vienkārša vārdu secība vācu teikumos.","Vienkārša vārdu secība vācu teikumos.","LABOT","Einfach Wuertstellung an däitsche Sätz.","REAL_UNTRANSLATED"
"98","lb","kurss.subtitle","Vācu valodas pamati soli pa solim","Vācu valodas pamati soli pa solim","LABOT","Grondlage vun der däitscher Sprooch, Schrëtt fir Schrëtt","REAL_UNTRANSLATED"
"99","lb","kurss.tipBody","Klausies, atkārto un salīdzini. Tava auss ir labākais skolotājs!","Klausies, atkārto un salīdzini. Tava auss ir labākais skolotājs!","LABOT","Lauschter, widderhuel a vergläich. Däin Ouer ass dee beschte Léiermeeschter!","REAL_UNTRANSLATED"
"100","lb","kurss.verbBasics","Darbības vārdu pamati","Darbības vārdu pamati","LABOT","Grondlage vun de Verben","REAL_UNTRANSLATED"
"101","lb","kurss.verbBasicsDesc","Personas, formas un biežākie darbības vārdi.","Personas, formas un biežākie darbības vārdi.","LABOT","Persounen, Formen an déi heefegst Verben.","REAL_UNTRANSLATED"
"102","lb","kurss.vowelsDesc","Garie un īsie patskaņi ar piemēriem.","Garie un īsie patskaņi ar piemēriem.","LABOT","Laang a kuerz Vokaler mat Beispiller.","REAL_UNTRANSLATED"
"103","lb","kurss.vowelsSubtitle","Patskaņi — garš un īss","Patskaņi — garš un īss","LABOT","Vokaler — laang a kuerz","REAL_UNTRANSLATED"
"104","lb","kurss.vowelsTitle","Patskaņi — garš un īss","Patskaņi — garš un īss","LABOT","Vokaler — laang a kuerz","REAL_UNTRANSLATED"
"105","lb","lists.noLearned","Nav iemācīto vārdu.","Nav iemācīto vārdu.","LABOT","Et gëtt keng geléiert Wierder.","REAL_UNTRANSLATED"
"106","lb","lists.noMastered","Nav 100% zināmo vārdu.","Nav 100% zināmo vārdu.","LABOT","Et gëtt keng zu 100 % bekannte Wierder.","REAL_UNTRANSLATED"
"107","lb","lists.noUnwanted","Nav nevajadzīgo vārdu.","Nav nevajadzīgo vārdu.","LABOT","Et gëtt keng net gebraucht Wierder.","REAL_UNTRANSLATED"
"108","lb","menu.chooseGroup","Izvēlies grupu","Izvēlies grupu","LABOT","Wiel eng Grupp","REAL_UNTRANSLATED"
"109","lb","menu.mainNav","Galvenā izvēlne","Galvenā izvēlne","LABOT","Haaptmenü","REAL_UNTRANSLATED"
"110","lb","menu.sentences","Teikumi","Teikumi","LABOT","Sätz","REAL_UNTRANSLATED"
"111","lb","menu.verbs","Darbības vārdi","Darbības vārdi","LABOT","Verben","REAL_UNTRANSLATED"
"112","lb","modes.intense","Intensīvs","Intensīvs","LABOT","Intensiv","REAL_UNTRANSLATED"
"113","lb","modes.normal","Normāls","Normāls","LABOT","Normal","REAL_UNTRANSLATED"
"114","lb","nav.backHome","Atgriezties galvenajā izvēlnē","Atgriezties galvenajā izvēlnē","LABOT","Zeréck an den Haaptmenü","REAL_UNTRANSLATED"
"115","lb","nav.changeLanguage","Mainīt dzimto valodu","Mainīt dzimto valodu","LABOT","Mammesprooch änneren","REAL_UNTRANSLATED"
"116","lb","nav.howItWorks","Kā tas strādā?","Kā tas strādā?","LABOT","Wéi funktionéiert et?","REAL_UNTRANSLATED"
"117","lb","nav.quickTools","Ātrie rīki","Ātrie rīki","LABOT","Schnellwierkzeugen","REAL_UNTRANSLATED"
"118","lb","notices.addedMastered","Vārds pievienots 100% zināmajiem.","Vārds pievienots 100% zināmajiem.","LABOT","D'Wuert gouf bei déi zu 100 % bekannte Wierder derbäigesat.","REAL_UNTRANSLATED"
"119","lb","notices.alreadyMastered","Vārds jau ir 100% zināmo sarakstā.","Vārds jau ir 100% zināmo sarakstā.","LABOT","D'Wuert ass schonn an der Lëscht vun de zu 100 % bekannte Wierder.","REAL_UNTRANSLATED"
"120","lb","notices.answerRevealed","Atbilde atklāta. Vārds paliek sesijā.","Atbilde atklāta. Vārds paliek sesijā.","LABOT","Äntwert ugewisen. D'Wuert bleift an der Sessioun.","REAL_UNTRANSLATED"
"121","lb","notices.chooseNextGroup","Izvēlies nākamo grupu galvenajā izvēlnē.","Izvēlies nākamo grupu galvenajā izvēlnē.","LABOT","Wiel déi nächst Grupp am Haaptmenü.","REAL_UNTRANSLATED"
"122","lb","notices.continueKnownReview","Turpinām zināmo vārdu pārskatīšanu.","Turpinām zināmo vārdu pārskatīšanu.","LABOT","Mir fuere mat der Iwwerpréiwung vun de bekannte Wierder weider.","REAL_UNTRANSLATED"
"123","lb","notices.continueLastSession","Turpinām pēdējās sesijas pārskatīšanu.","Turpinām pēdējās sesijas pārskatīšanu.","LABOT","Mir fuere mat der Iwwerpréiwung vun der leschter Sessioun weider.","REAL_UNTRANSLATED"
"124","lb","notices.continueTimeReview","Turpinām: {label}.","Turpinām: {label}.","LABOT","Mir fuere weider: {label}.","REAL_UNTRANSLATED"
"125","lb","notices.enterAnswerFirst","Vispirms ievadi pareizu atbildi un nospied Pārbaudīt.","Vispirms ievadi pareizu atbildi un nospied Pārbaudīt.","LABOT","Gëff fir d'éischt déi richteg Äntwert an a klick op Iwwerpréiwen.","REAL_UNTRANSLATED"
"126","lb","notices.errorLevelReduced","Kļūdu pakāpe samazināta.","Kļūdu pakāpe samazināta.","LABOT","De Feelergrad gouf reduzéiert.","REAL_UNTRANSLATED"
"127","lb","notices.knownReviewDone","Zināmo vārdu pārskatīšana pabeigta.","Zināmo vārdu pārskatīšana pabeigta.","LABOT","D'Iwwerpréiwung vun de bekannte Wierder ass ofgeschloss.","REAL_UNTRANSLATED"
"128","lb","notices.lastSessionDone","Pēdējās sesijas pārskatīšana pabeigta.","Pēdējās sesijas pārskatīšana pabeigta.","LABOT","D'Iwwerpréiwung vun der leschter Sessioun ass ofgeschloss.","REAL_UNTRANSLATED"
"129","lb","notices.leftForReview","Atstāts pārskatīšanai.","Atstāts pārskatīšanai.","LABOT","Fir d'Iwwerpréiwung gelooss.","REAL_UNTRANSLATED"
"130","lb","notices.leftInProblems","Atstāts problemātiskajā grupā.","Atstāts problemātiskajā grupā.","LABOT","An der Grupp vun de Problemwierder gelooss.","REAL_UNTRANSLATED"
"131","lb","notices.loadFailed","Neizdevās ielādēt kartītes. Pārlādē lapu vai pārbaudi, vai visi datu faili ir pieejami.","Neizdevās ielādēt kartītes. Pārlādē lapu vai pārbaudi, vai visi datu faili ir pieejami.","LABOT","D'Kaarte konnten net geluede ginn. Luet d'Säit nei oder kontrolléier, ob all Dateie verfügbar sinn.","REAL_UNTRANSLATED"
"132","lb","notices.markedKnown","Atzīmēts kā zināms.","Atzīmēts kā zināms.","LABOT","Als bekannt markéiert.","REAL_UNTRANSLATED"
"133","lb","notices.markedUnwanted","Vārds atzīmēts kā nevajadzīgs.","Vārds atzīmēts kā nevajadzīgs.","LABOT","D'Wuert gouf als net gebraucht markéiert.","REAL_UNTRANSLATED"
"134","lb","notices.movedToKnown","Vārds pārvietots uz Zināmi!","Vārds pārvietots uz Zināmi!","LABOT","D'Wuert gouf bei Bekannt geréckelt!","REAL_UNTRANSLATED"
"135","lb","notices.noCard","Nav kartītes, ko atzīmēt.","Nav kartītes, ko atzīmēt.","LABOT","Et gëtt keng Kaart fir ze markéieren.","REAL_UNTRANSLATED"
"136","lb","notices.noCardForMastered","Nav kartītes, ko pievienot 100% zināmajiem.","Nav kartītes, ko pievienot 100% zināmajiem.","LABOT","Et gëtt keng Kaart fir bei déi zu 100 % bekannte Wierder derbäizesetzen.","REAL_UNTRANSLATED"
"137","lb","notices.noCardForUnwanted","Nav kartītes, ko atzīmēt kā nevajadzīgu.","Nav kartītes, ko atzīmēt kā nevajadzīgu.","LABOT","Et gëtt keng Kaart fir als net gebraucht ze markéieren.","REAL_UNTRANSLATED"
"138","lb","notices.noCardToMark","Nav kartīšu, ko atzīmēt.","Nav kartīšu, ko atzīmēt.","LABOT","Et gëtt keng Kaarte fir ze markéieren.","REAL_UNTRANSLATED"
"139","lb","notices.noCompletedSession","Nav pabeigtas sesijas, ko pārskatīt.","Nav pabeigtas sesijas, ko pārskatīt.","LABOT","Et gëtt keng ofgeschloss Sessioun fir z'iwwerpréiwen.","REAL_UNTRANSLATED"
"140","lb","notices.noProblems","Nav problemātisko vārdu.","Nav problemātisko vārdu.","LABOT","Et gëtt keng Problemwierder.","REAL_UNTRANSLATED"
"141","lb","notices.noVerbToMark","Nav darbības vārdu, ko atzīmēt.","Nav darbības vārdu, ko atzīmēt.","LABOT","Et gëtt kee Verb fir ze markéieren.","REAL_UNTRANSLATED"
"142","lb","notices.problemModeOff","Problemātisko vārdu režīms izslēgts.","Problemātisko vārdu režīms izslēgts.","LABOT","De Modus fir Problemwierder ass ausgeschalt.","REAL_UNTRANSLATED"
"143","lb","notices.problemsFinishedMoved","Problemātiskie vārdi izmācīti. Vārds pārvietots uz Zināmi!","Problemātiskie vārdi izmācīti. Vārds pārvietots uz Zināmi!","LABOT","D'Problemwierder si geléiert. D'Wuert gouf bei Bekannt geréckelt!","REAL_UNTRANSLATED"
