language,key,category,lvSource,current,detail
bs,kurss.lessonItems.18.title,NEEDS_OWNER_REVIEW,Lekcija 18,Lekcija 18,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
bs,kurss.lessonItems.19.title,NEEDS_OWNER_REVIEW,Lekcija 19,Lekcija 19,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
bs,kurss.lessonItems.2.title,NEEDS_OWNER_REVIEW,Lekcija 2,Lekcija 2,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
bs,kurss.lessonItems.20.title,NEEDS_OWNER_REVIEW,Lekcija 20,Lekcija 20,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
bs,kurss.lessonItems.21.title,NEEDS_OWNER_REVIEW,Lekcija 21,Lekcija 21,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
bs,kurss.lessonItems.3.title,NEEDS_OWNER_REVIEW,Lekcija 3,Lekcija 3,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
bs,kurss.lessonItems.4.title,NEEDS_OWNER_REVIEW,Lekcija 4,Lekcija 4,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
bs,kurss.lessonItems.5.title,NEEDS_OWNER_REVIEW,Lekcija 5,Lekcija 5,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
bs,kurss.lessonItems.6.title,NEEDS_OWNER_REVIEW,Lekcija 6,Lekcija 6,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
bs,kurss.lessonItems.7.title,NEEDS_OWNER_REVIEW,Lekcija 7,Lekcija 7,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
bs,kurss.lessonItems.8.title,NEEDS_OWNER_REVIEW,Lekcija 8,Lekcija 8,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
bs,kurss.lessonItems.9.title,NEEDS_OWNER_REVIEW,Lekcija 9,Lekcija 9,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
bs,kurss.sections.grammar,NEEDS_OWNER_REVIEW,Gramatika,Gramatika,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sr,kurss.lessonItems.1.title,NEEDS_OWNER_REVIEW,Lekcija 1,Lekcija 1,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sr,kurss.lessonItems.10.title,NEEDS_OWNER_REVIEW,Lekcija 10,Lekcija 10,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sr,kurss.lessonItems.11.title,NEEDS_OWNER_REVIEW,Lekcija 11,Lekcija 11,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sr,kurss.lessonItems.12.title,NEEDS_OWNER_REVIEW,Lekcija 12,Lekcija 12,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sr,kurss.lessonItems.13.title,NEEDS_OWNER_REVIEW,Lekcija 13,Lekcija 13,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sr,kurss.lessonItems.14.title,NEEDS_OWNER_REVIEW,Lekcija 14,Lekcija 14,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sr,kurss.lessonItems.15.title,NEEDS_OWNER_REVIEW,Lekcija 15,Lekcija 15,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sr,kurss.lessonItems.16.title,NEEDS_OWNER_REVIEW,Lekcija 16,Lekcija 16,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sr,kurss.lessonItems.17.title,NEEDS_OWNER_REVIEW,Lekcija 17,Lekcija 17,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sr,kurss.lessonItems.18.title,NEEDS_OWNER_REVIEW,Lekcija 18,Lekcija 18,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sr,kurss.lessonItems.19.title,NEEDS_OWNER_REVIEW,Lekcija 19,Lekcija 19,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sr,kurss.lessonItems.2.title,NEEDS_OWNER_REVIEW,Lekcija 2,Lekcija 2,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sr,kurss.lessonItems.20.title,NEEDS_OWNER_REVIEW,Lekcija 20,Lekcija 20,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sr,kurss.lessonItems.21.title,NEEDS_OWNER_REVIEW,Lekcija 21,Lekcija 21,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sr,kurss.lessonItems.3.title,NEEDS_OWNER_REVIEW,Lekcija 3,Lekcija 3,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sr,kurss.lessonItems.4.title,NEEDS_OWNER_REVIEW,Lekcija 4,Lekcija 4,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sr,kurss.lessonItems.5.title,NEEDS_OWNER_REVIEW,Lekcija 5,Lekcija 5,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sr,kurss.lessonItems.6.title,NEEDS_OWNER_REVIEW,Lekcija 6,Lekcija 6,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sr,kurss.lessonItems.7.title,NEEDS_OWNER_REVIEW,Lekcija 7,Lekcija 7,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sr,kurss.lessonItems.8.title,NEEDS_OWNER_REVIEW,Lekcija 8,Lekcija 8,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sr,kurss.lessonItems.9.title,NEEDS_OWNER_REVIEW,Lekcija 9,Lekcija 9,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
hr,kurss.lessonItems.1.title,NEEDS_OWNER_REVIEW,Lekcija 1,Lekcija 1,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
hr,kurss.lessonItems.10.title,NEEDS_OWNER_REVIEW,Lekcija 10,Lekcija 10,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
hr,kurss.lessonItems.11.title,NEEDS_OWNER_REVIEW,Lekcija 11,Lekcija 11,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
hr,kurss.lessonItems.12.title,NEEDS_OWNER_REVIEW,Lekcija 12,Lekcija 12,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
hr,kurss.lessonItems.13.title,NEEDS_OWNER_REVIEW,Lekcija 13,Lekcija 13,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
hr,kurss.lessonItems.14.title,NEEDS_OWNER_REVIEW,Lekcija 14,Lekcija 14,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
hr,kurss.lessonItems.15.title,NEEDS_OWNER_REVIEW,Lekcija 15,Lekcija 15,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
hr,kurss.lessonItems.16.title,NEEDS_OWNER_REVIEW,Lekcija 16,Lekcija 16,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
hr,kurss.lessonItems.17.title,NEEDS_OWNER_REVIEW,Lekcija 17,Lekcija 17,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
hr,kurss.lessonItems.18.title,NEEDS_OWNER_REVIEW,Lekcija 18,Lekcija 18,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
hr,kurss.lessonItems.19.title,NEEDS_OWNER_REVIEW,Lekcija 19,Lekcija 19,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
hr,kurss.lessonItems.2.title,NEEDS_OWNER_REVIEW,Lekcija 2,Lekcija 2,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
hr,kurss.lessonItems.20.title,NEEDS_OWNER_REVIEW,Lekcija 20,Lekcija 20,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
hr,kurss.lessonItems.21.title,NEEDS_OWNER_REVIEW,Lekcija 21,Lekcija 21,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
hr,kurss.lessonItems.3.title,NEEDS_OWNER_REVIEW,Lekcija 3,Lekcija 3,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
hr,kurss.lessonItems.4.title,NEEDS_OWNER_REVIEW,Lekcija 4,Lekcija 4,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
hr,kurss.lessonItems.5.title,NEEDS_OWNER_REVIEW,Lekcija 5,Lekcija 5,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
hr,kurss.lessonItems.6.title,NEEDS_OWNER_REVIEW,Lekcija 6,Lekcija 6,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
hr,kurss.lessonItems.7.title,NEEDS_OWNER_REVIEW,Lekcija 7,Lekcija 7,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
hr,kurss.lessonItems.8.title,NEEDS_OWNER_REVIEW,Lekcija 8,Lekcija 8,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
hr,kurss.lessonItems.9.title,NEEDS_OWNER_REVIEW,Lekcija 9,Lekcija 9,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sk,tools.problemShort,NEEDS_OWNER_REVIEW,Probl.,Probl.,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
cs,extra.statistics,NEEDS_OWNER_REVIEW,Statistika,Statistika,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
cs,kurss.sections.grammar,NEEDS_OWNER_REVIEW,Gramatika,Gramatika,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
fi,extra.statistics,NEEDS_OWNER_REVIEW,Statistika,Statistika,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
fi,tools.problemShort,NEEDS_OWNER_REVIEW,Probl.,Probl.,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sv,extra.statistics,NEEDS_OWNER_REVIEW,Statistika,Statistika,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sv,tools.problemShort,NEEDS_OWNER_REVIEW,Probl.,Probl.,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
nb,extra.statistics,NEEDS_OWNER_REVIEW,Statistika,Statistika,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
nb,tools.problemShort,NEEDS_OWNER_REVIEW,Probl.,Probl.,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
nn,extra.statistics,NEEDS_OWNER_REVIEW,Statistika,Statistika,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
nn,tools.problemShort,NEEDS_OWNER_REVIEW,Probl.,Probl.,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
nl,extra.statistics,NEEDS_OWNER_REVIEW,Statistika,Statistika,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
nl,tools.problemShort,NEEDS_OWNER_REVIEW,Probl.,Probl.,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,buttons.extraOptions,NEEDS_OWNER_REVIEW,Papildu opcijas,Papildu opcijas,Nav droši klasificējams automātiski
lb,buttons.extraOptionsClose,NEEDS_OWNER_REVIEW,Papildu opcijas ▲,Papildu opcijas ▲,Nav droši klasificējams automātiski
lb,buttons.extraOptionsOpen,NEEDS_OWNER_REVIEW,Papildu opcijas ▼,Papildu opcijas ▼,Nav droši klasificējams automātiski
lb,buttons.restore,NEEDS_OWNER_REVIEW,Atgriezt,Atgriezt,Nav droši klasificējams automātiski
lb,buttons.restoreAll,NEEDS_OWNER_REVIEW,Atgriezt visu,Atgriezt visu,Nav droši klasificējams automātiski
lb,card.answerPrefix,NEEDS_OWNER_REVIEW,Atbilde:,Atbilde:,Nav droši klasificējams automātiski
lb,card.pluralLabel,NEEDS_OWNER_REVIEW,Daudzsk.,Daudzsk.,Nav droši klasificējams automātiski
lb,card.sessionComplete,NEEDS_OWNER_REVIEW,Sesija pabeigta!,Sesija pabeigta!,Nav droši klasificējams automātiski
lb,card.sessionLabel,NEEDS_OWNER_REVIEW,Sesija,Sesija,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,extra.statistics,NEEDS_OWNER_REVIEW,Statistika,Statistika,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,info.answersTitle,NEEDS_OWNER_REVIEW,Atbildes,Atbildes,Nav droši klasificējams automātiski
lb,info.directionTitle,NEEDS_OWNER_REVIEW,Tulkojuma virziens,Tulkojuma virziens,Nav droši klasificējams automātiski
lb,info.extraTitle,NEEDS_OWNER_REVIEW,Papildu opcijas,Papildu opcijas,Nav droši klasificējams automātiski
lb,kurss.articles,NEEDS_OWNER_REVIEW,Artikuli,Artikuli,Nav droši klasificējams automātiski
lb,kurss.back,NEEDS_OWNER_REVIEW,‹ Kurss,‹ Kurss,Nav droši klasificējams automātiski
lb,kurss.exerciseMeta.formDu,NEEDS_OWNER_REVIEW,Forma 1/3: Tu (vienskaitlis),Forma 1/3: Tu (vienskaitlis),Nav droši klasificējams automātiski
lb,kurss.exerciseMeta.translate,NEEDS_OWNER_REVIEW,Übung II — tulko,Übung II — tulko,Nav droši klasificējams automātiski
lb,kurss.lessonItems.1.menuDesc,NEEDS_OWNER_REVIEW,"Darbības vārdi tagadnē, vārdiņi, gramatika un treniņš.","Darbības vārdi tagadnē, vārdiņi, gramatika un treniņš.",Jaukts LV + DE mācību apraksts — nepieciešams OWNER vērtējums
lb,kurss.lessonItems.1.title,NEEDS_OWNER_REVIEW,Lekcija 1,Lekcija 1,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,kurss.lessonItems.10.menuDesc,NEEDS_OWNER_REVIEW,"Sein, können, veselība, vecums un profesijas.","Sein, können, veselība, vecums un profesijas.",Jaukts LV + DE mācību apraksts — nepieciešams OWNER vērtējums
lb,kurss.lessonItems.10.title,NEEDS_OWNER_REVIEW,Lekcija 10,Lekcija 10,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,kurss.lessonItems.11.menuDesc,NEEDS_OWNER_REVIEW,"Haben, kein/keine/keinen, piederība un saliktie lietvārdi.","Haben, kein/keine/keinen, piederība un saliktie lietvārdi.",Jaukts LV + DE mācību apraksts — nepieciešams OWNER vērtējums
lb,kurss.lessonItems.11.title,NEEDS_OWNER_REVIEW,Lekcija 11,Lekcija 11,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,kurss.lessonItems.12.menuDesc,NEEDS_OWNER_REVIEW,"Salīdzināmās pakāpes, als/wie, vecums un krāsas.","Salīdzināmās pakāpes, als/wie, vecums un krāsas.",Jaukts LV + DE mācību apraksts — nepieciešams OWNER vērtējums
lb,kurss.lessonItems.12.title,NEEDS_OWNER_REVIEW,Lekcija 12,Lekcija 12,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,kurss.lessonItems.13.menuDesc,NEEDS_OWNER_REVIEW,"Der Körper, ķermeņa daļas, turnen un jeder.","Der Körper, ķermeņa daļas, turnen un jeder.",Jaukts LV + DE mācību apraksts — nepieciešams OWNER vērtējums
lb,kurss.lessonItems.13.title,NEEDS_OWNER_REVIEW,Lekcija 13,Lekcija 13,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,kurss.lessonItems.14.menuDesc,NEEDS_OWNER_REVIEW,"müssen, wollen, mögen un modālie darbības vārdi.","müssen, wollen, mögen un modālie darbības vārdi.",Jaukts LV + DE mācību apraksts — nepieciešams OWNER vērtējums
lb,kurss.lessonItems.14.title,NEEDS_OWNER_REVIEW,Lekcija 14,Lekcija 14,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,kurss.lessonItems.15.menuDesc,NEEDS_OWNER_REVIEW,"sollen, dürfen, essen un augļi.","sollen, dürfen, essen un augļi.",Jaukts LV + DE mācību apraksts — nepieciešams OWNER vērtējums
lb,kurss.lessonItems.15.title,NEEDS_OWNER_REVIEW,Lekcija 15,Lekcija 15,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,kurss.lessonItems.16.menuDesc,NEEDS_OWNER_REVIEW,"Dativs, geben, sich nähern.","Dativs, geben, sich nähern.",Jaukts LV + DE mācību apraksts — nepieciešams OWNER vērtējums
lb,kurss.lessonItems.16.title,NEEDS_OWNER_REVIEW,Lekcija 16,Lekcija 16,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,kurss.lessonItems.17.title,NEEDS_OWNER_REVIEW,Lekcija 17,Lekcija 17,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,kurss.lessonItems.18.title,NEEDS_OWNER_REVIEW,Lekcija 18,Lekcija 18,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,kurss.lessonItems.19.title,NEEDS_OWNER_REVIEW,Lekcija 19,Lekcija 19,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,kurss.lessonItems.2.menuDesc,NEEDS_OWNER_REVIEW,"Dialogi, vārdi, izruna, gramatika un pārtulkošana.","Dialogi, vārdi, izruna, gramatika un pārtulkošana.",Jaukts LV + DE mācību apraksts — nepieciešams OWNER vērtējums
lb,kurss.lessonItems.2.title,NEEDS_OWNER_REVIEW,Lekcija 2,Lekcija 2,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,kurss.lessonItems.20.menuDesc,NEEDS_OWNER_REVIEW,"Haus, Stockwerk, Dativ/Akkusativ un saliktie lietvārdi.","Haus, Stockwerk, Dativ/Akkusativ un saliktie lietvārdi.",Jaukts LV + DE mācību apraksts — nepieciešams OWNER vērtējums
lb,kurss.lessonItems.20.title,NEEDS_OWNER_REVIEW,Lekcija 20,Lekcija 20,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,kurss.lessonItems.21.title,NEEDS_OWNER_REVIEW,Lekcija 21,Lekcija 21,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,kurss.lessonItems.3.menuDesc,NEEDS_OWNER_REVIEW,"Dialogi, vārdi, izruna, gramatika un pārtulkošana.","Dialogi, vārdi, izruna, gramatika un pārtulkošana.",Jaukts LV + DE mācību apraksts — nepieciešams OWNER vērtējums
lb,kurss.lessonItems.3.title,NEEDS_OWNER_REVIEW,Lekcija 3,Lekcija 3,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lb,kurss.lessonItems.4.menuDesc,NEEDS_OWNER_REVIEW,"Akuzatīvs, nehmen, hinlegen, hinausgehen un īpašības vārdi.","Akuzatīvs, nehmen, hinlegen, hinausgehen un īpašības vārdi.",Jaukts LV + DE mācību apraksts — nepieciešams OWNER vērtējums
lb,kurss.lessonItems.4.title,NEEDS_OWNER_REVIEW,Lekcija 4,Lekcija 4,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
