finding_stable_ids,escalation_batch_id,decision_target_key,non_owner_identity_hash,unresolved_category,owner_status_before,owner_decision_before,owner_note_before_prefix,owner_status_after,owner_decision_after,owner_note_after_prefix,decision_rule,decision_provenance
"g2/a1/es|für|idx:216|study.important|MEANING_ERROR|gpt-5.6-luna","ESC-002","017343b52ced87febfeb4f8f81be8adfb1e74b6658321e0ce7be1ec3c1bb3a4c","7ecfda702bfeca657cc9b5832caf1b2f802f9a4e23d3dddff0f924f28fc672c4","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","TARGET_VALUE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: SEMANTIC_MEANING_REVIEW_REQUIRED. mapping=EXACT_FIELD buc","SEMANTIC_TARGET_VALUE_VALID","AUTOMATIC_RULE_DECISION"
"g2/a1/es|gleich|idx:243|study.explanation|MEANING_ERROR|gpt-5.6-luna","ESC-002","0337a99488d754aeeda1b5fd1bb78285e11402c50fac181aeaaae14a1230fac2","4fb9d1b0a427d3e303616a8662a03c96e96227bcc906164eb2b9d2c0e6791b11","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","TARGET_VALUE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: SEMANTIC_MEANING_REVIEW_REQUIRED. mapping=EXACT_FIELD buc","SEMANTIC_TARGET_VALUE_VALID","AUTOMATIC_RULE_DECISION"
"g2/a1/es|kennen|idx:310|study.tip|SEMANTIC_ERROR|gpt-5.6-luna","ESC-002","01179890c03f5c0d809a58de80b896c039c5b58ea853637b40853f7b8c61334d","e7513c4c7107523f98ddcfce3b57ff85aad8970b36ef40f53f8a69ca92d470e9","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","TARGET_VALUE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: SEMANTIC_MEANING_REVIEW_REQUIRED. mapping=EXACT_FIELD buc","SEMANTIC_TARGET_VALUE_VALID","AUTOMATIC_RULE_DECISION"
"g2/a1/es|müssen|idx:423|study.explanation|SEMANTIC_ERROR|gpt-5.6-luna","ESC-002","c6770f34bedea0dc2c1fda0771ee90a77827beda89ce32ac4d6ec507543ccf9a","dc738d25626aef65fe1127bc5d51c0bb0baba28501cc4ea972d37c2f4ca95653","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","TARGET_VALUE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: SEMANTIC_MEANING_REVIEW_REQUIRED. mapping=EXACT_FIELD buc","SEMANTIC_TARGET_VALUE_VALID","AUTOMATIC_RULE_DECISION"
"g2/a1/es|nach|idx:426|study.explanation|SEMANTIC_ERROR|gpt-5.6-luna","ESC-002","55f44a8cc7839835326d29900242721bab41a6b654cad8eede9a3fce791338a4","59428fd274aacc78c9402bab398e98a43dc413f4de768d97b6d31f66f995fc90","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","TARGET_VALUE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: SEMANTIC_MEANING_REVIEW_REQUIRED. mapping=EXACT_FIELD buc","SEMANTIC_TARGET_VALUE_VALID","AUTOMATIC_RULE_DECISION"
"g2/a1/es|wissen|idx:311|study.examples|TRANSLATION_ERROR|gpt-5.6-luna","ESC-002","10579989065884267d6d24204d9251c0170803b925558986838ae48574dd4e73","cf33235fc034f95724e82f3c828e6d074bdaa944ce9782d14a25fdd500fa7b36","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","TARGET_VALUE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: SEMANTIC_MEANING_REVIEW_REQUIRED. mapping=EXACT_FIELD buc","SEMANTIC_TARGET_VALUE_VALID","AUTOMATIC_RULE_DECISION"
"g2/a1/fi|Abendessen|idx:19|lv|TARGET_LANGUAGE_ERROR|gpt-5.6-luna","ESC-004","cf4e5a4d3c8135e825f28c7b31b059be7216f303cee43fab4e5bcb6392ccc311","a43589b7d7978d56d8df0562c7ce4b9a799a9e632863280b223385a211144ec0","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","NELABOT","TARGET_LANGUAGE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: TARGET_LANGUAGE_REWRITE_REQUIRED. mapping=EXPLICIT_FIELD_","TARGET_LANGUAGE_PRESENCE","AUTOMATIC_RULE_DECISION"
"g2/a1/fi|Abend|idx:18|lv|TARGET_LANGUAGE_ERROR|gpt-5.6-luna","ESC-004","3ce1f5c626e1f7b597c3268b3ef015eae7f47f2615c4ef0c0fce08fe556950c3","90035f4bf52389628af986bcdbfaacf60e943f8689bda8844128f8242c01ba69","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","NELABOT","TARGET_LANGUAGE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: TARGET_LANGUAGE_REWRITE_REQUIRED. mapping=EXPLICIT_FIELD_","TARGET_LANGUAGE_PRESENCE","AUTOMATIC_RULE_DECISION"
"g2/a1/fi|Adresse|idx:23|lv|TARGET_LANGUAGE_ERROR|gpt-5.6-luna","ESC-004","3f052944e6e530f63efc837b80efb674fcafcc5513abfe9b9420bdea0e701c6e","1a2c910241dabd4a7cfbf539cf1a20c689ef71e1261d2d796606e2b00a4fe0bf","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","NELABOT","TARGET_LANGUAGE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: TARGET_LANGUAGE_REWRITE_REQUIRED. mapping=EXPLICIT_FIELD_","TARGET_LANGUAGE_PRESENCE","AUTOMATIC_RULE_DECISION"
"g2/a1/fi|Affe|idx:24|lv|TARGET_LANGUAGE_ERROR|gpt-5.6-luna","ESC-004","2a748d4ef88d4f0bb274585cdea8e0b5d4b6eb1c4ee9f061c2c3218de06ab9cf","4f1b78f2999a4eea2678e07d08f97eab1dbb7df2227a7695c756670d253188e4","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","NELABOT","TARGET_LANGUAGE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: TARGET_LANGUAGE_REWRITE_REQUIRED. mapping=EXPLICIT_FIELD_","TARGET_LANGUAGE_PRESENCE","AUTOMATIC_RULE_DECISION"
"g2/a1/fi|Album|idx:25|lv|TARGET_LANGUAGE_ERROR|gpt-5.6-luna","ESC-004","46b5b1d3d2a5e4ad488a9d99310cbf083eecc932a28afeb7ae20d0ea1336bd6f","d241b4722942793df1e0a1cdc38f9685075c27760221c15c4b9c65f7ff7c8fe5","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","NELABOT","TARGET_LANGUAGE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: TARGET_LANGUAGE_REWRITE_REQUIRED. mapping=EXPLICIT_FIELD_","TARGET_LANGUAGE_PRESENCE","AUTOMATIC_RULE_DECISION"
"g2/a1/fi|Alter|idx:11|lv|TARGET_LANGUAGE_ERROR|gpt-5.6-luna","ESC-004","2c5e7e73fedbadaf1734cf65f23639a819055d19caae44cc1791bfe4f7d4290f","32a7c9b3ffe00f75dd57339ae8bc279b50b6bf3bcfa58b52d21dcb3b776b37df","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","NELABOT","TARGET_LANGUAGE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: TARGET_LANGUAGE_REWRITE_REQUIRED. mapping=EXPLICIT_FIELD_","TARGET_LANGUAGE_PRESENCE","AUTOMATIC_RULE_DECISION"
"g2/a1/fi|Ameise|idx:27|lv|TARGET_LANGUAGE_ERROR|gpt-5.6-luna","ESC-004","2d1f4e27ab78e39f366026370a09ae5063b1693659cc9054aca6b9b33cb9f3b5","8130ccebd0f37c6bb812424e25608d5692ccaeee140f71682d4a9df46cfd30ed","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","NELABOT","TARGET_LANGUAGE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: TARGET_LANGUAGE_REWRITE_REQUIRED. mapping=EXPLICIT_FIELD_","TARGET_LANGUAGE_PRESENCE","AUTOMATIC_RULE_DECISION"
"g2/a1/fi|Anfang|idx:13|lv|TARGET_LANGUAGE_ERROR|gpt-5.6-luna","ESC-004","66d0b988e9a71accc915ea1095994ee04fc0f9db66be061f9ce1ca14dc92873e","b3dcbbe8d0b084fa860167c5f76c6701594f98673b6c8ad5b3b9b3a4795f7502","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","NELABOT","TARGET_LANGUAGE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: TARGET_LANGUAGE_REWRITE_REQUIRED. mapping=EXPLICIT_FIELD_","TARGET_LANGUAGE_PRESENCE","AUTOMATIC_RULE_DECISION"
"g2/a1/fi|Apfel|idx:0|lv|TARGET_LANGUAGE_ERROR|gpt-5.6-luna","ESC-004","50a6d144e1a0d48a8247d65df9226fc5a350260c65ba875bf5e5692a28317a5b","50cca40aed4dc551bbdc4c1d7062055d03298f1e84df9d8c6b61bb5055904be6","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","NELABOT","TARGET_LANGUAGE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: TARGET_LANGUAGE_REWRITE_REQUIRED. mapping=EXPLICIT_FIELD_","TARGET_LANGUAGE_PRESENCE","AUTOMATIC_RULE_DECISION"
"g2/a1/fi|Augenbraue|idx:61|lv|LINGUISTIC_ERROR|gpt-5.6-luna","ESC-004","4e77de1ecb771d9f33fd4a702cbe918b0fea3897336722642f5067812160eb17","a6786b9d4762d2cc5c5f4ca6a99245882f91e2e435af3e295a06cb35c2bd7cd0","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","TARGET_VALUE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: SEMANTIC_MEANING_REVIEW_REQUIRED. mapping=EXPLICIT_FIELD_","SEMANTIC_TARGET_VALUE_VALID","AUTOMATIC_RULE_DECISION"
"g2/a1/fi|Augenfarbe|idx:62|lv|LINGUISTIC_ERROR|gpt-5.6-luna","ESC-004","325f2aa453746c8964bee9e5e9eda43549d58ea4fa6b29573cfccd541552f088","b70d45633e4ce56712c33530e44e5822ba3db9e1f4952ec00ec667b9e77a50e6","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","TARGET_VALUE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: SEMANTIC_MEANING_REVIEW_REQUIRED. mapping=EXPLICIT_FIELD_","SEMANTIC_TARGET_VALUE_VALID","AUTOMATIC_RULE_DECISION"
"g2/a1/fi|Badezimmer|idx:65|lv|LINGUISTIC_ERROR|gpt-5.6-luna","ESC-004","b6f91d9566cd5900bff61e70fe172339953936cb7f18de165185644969000dc8","77d188525d6f68ecc19bcea9f5810657d01464fd587d3bca29393109be719900","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","TARGET_VALUE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: SEMANTIC_MEANING_REVIEW_REQUIRED. mapping=EXPLICIT_FIELD_","SEMANTIC_TARGET_VALUE_VALID","AUTOMATIC_RULE_DECISION"
"g2/a1/fi|Bad|idx:64|lv|LINGUISTIC_ERROR|gpt-5.6-luna","ESC-004","1ef7e431d5df349c372fd6761e0c08616a2cdd5ada6d770b419cc628b3656427","347a0010b60b8cc52bb3c716c7ec972ad74883428dfa9b3b484baa60c1b81554","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","TARGET_VALUE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: SEMANTIC_MEANING_REVIEW_REQUIRED. mapping=EXPLICIT_FIELD_","SEMANTIC_TARGET_VALUE_VALID","AUTOMATIC_RULE_DECISION"
"g2/a1/fi|Balkon|idx:70|lv|LINGUISTIC_ERROR|gpt-5.6-luna","ESC-004","5328b7c858de083971a52a2fb069a6c2c59b4bfeac0fa1d328f6e35925e0ad80","f2538785965bf76d85006e23dd828ad7abb61ba64929bb8434a5104aa769090e","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","TARGET_VALUE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: SEMANTIC_MEANING_REVIEW_REQUIRED. mapping=EXPLICIT_FIELD_","SEMANTIC_TARGET_VALUE_VALID","AUTOMATIC_RULE_DECISION"
"g2/a1/fi|Ball|idx:71|lv|LINGUISTIC_ERROR|gpt-5.6-luna","ESC-004","9f367f90f243fe9e971e206a492166cbb273cee50852947896474159e4775746","502ca831a2475d63fac9d4f636a8602cb7d422ceae89867c7b2d48a39d4ba02d","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","TARGET_VALUE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: SEMANTIC_MEANING_REVIEW_REQUIRED. mapping=EXPLICIT_FIELD_","SEMANTIC_TARGET_VALUE_VALID","AUTOMATIC_RULE_DECISION"
"g2/a1/fi|Banane|idx:72|lv|LINGUISTIC_ERROR|gpt-5.6-luna","ESC-004","f3c13288310bd3362d44d0d3b6f9d324e3dd9e47c404ff42e86e831a2c635500","16ed1ea98dc50d449fe8204c9058caebd38821864bfc192b5f0f1b12a57450de","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","TARGET_VALUE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: SEMANTIC_MEANING_REVIEW_REQUIRED. mapping=EXPLICIT_FIELD_","SEMANTIC_TARGET_VALUE_VALID","AUTOMATIC_RULE_DECISION"
